feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
homopolymer_max_run,0.347149,1,0.347759,0.015355,0.044155,1.000000,0.000000,True,1.000000
gc_global,0.215724,2,0.214865,0.017944,0.083514,2.000000,0.000000,True,1.000000
at_skew,0.116217,3,0.116538,0.004079,0.035001,3.000000,0.000000,True,1.000000
freq_T,0.060108,4,0.059970,0.003633,0.060573,4.485000,0.509681,True,1.000000
rle_std_run_len,0.059660,5,0.059656,0.002436,0.040841,4.520000,0.499600,True,1.000000
at_global,0.045282,6,0.045155,0.004275,0.094678,5.995000,0.070534,True,1.000000
shannon_entropy_global,0.022294,7,0.021987,0.001578,0.071771,7.100000,0.360555,True,1.000000
approx_free_energy,0.018899,8,0.018931,0.001411,0.074526,8.500000,0.616441,True,0.990000
hp_max_T,0.018885,9,0.018924,0.001210,0.063940,8.430000,0.595903,True,1.000000
trinuc_ATA,0.015174,10,0.015186,0.000603,0.039682,10.435000,0.621108,True,0.615000
gc_win10_std,0.014477,11,0.014503,0.000856,0.059053,11.100000,0.927362,True,
dinuc_TT,0.013730,12,0.013714,0.001212,0.088395,12.085000,1.322034,True,
gc_skew,0.012334,13,0.012378,0.000915,0.073890,14.035000,1.524393,True,
entropy_windowed_std,0.012123,14,0.012135,0.000845,0.069607,14.305000,1.400705,True,
gc_win40_std,0.012020,15,0.012025,0.000937,0.077919,14.455000,1.645593,True,
repeat_fraction,0.011685,16,0.011634,0.000687,0.059022,15.140000,1.288565,True,
gc_win10_mean,0.010298,17,0.010280,0.000819,0.079704,17.975000,2.067456,True,
gc_win20_mean,0.009922,18,0.009938,0.000611,0.061516,18.730000,1.776823,True,
dinuc_AT,0.009900,19,0.009936,0.000687,0.069122,18.765000,1.717491,True,
hairpin_score,0.009409,20,0.009346,0.000653,0.069920,20.585000,2.470380,True,
entropy_windowed_mean,0.008916,21,0.008862,0.000615,0.069358,22.635000,2.748049,True,
homopolymer_fraction,0.008767,22,0.008740,0.000553,0.063310,23.185000,2.798352,True,
gc_first_quarter,0.008405,23,0.008399,0.000518,0.061683,24.840000,2.919658,True,
dinuc_CT,0.008306,24,0.008346,0.000616,0.073846,25.295000,3.358270,False,
gc_win20_std,0.008232,25,0.008171,0.000591,0.072323,26.430000,3.632506,False,
freq_A,0.008231,26,0.008274,0.000630,0.076189,25.800000,3.383785,False,
hp_max_C,0.008181,27,0.008219,0.001242,0.151151,26.715000,6.153355,False,
dinuc_GA,0.008021,28,0.008038,0.000608,0.075592,27.170000,3.559649,False,
freq_C,0.007803,29,0.007779,0.000600,0.077132,28.480000,3.888393,False,
dinuc_AC,0.007615,30,0.007577,0.000766,0.101064,30.045000,4.387821,False,
gc_win40_mean,0.007456,31,0.007482,0.000525,0.070192,30.475000,3.257204,False,
hp_max_A,0.007395,32,0.007428,0.000661,0.089034,30.810000,3.903063,False,
gc_win10_max,0.007032,33,0.007081,0.000389,0.054926,32.955000,2.439872,True,
trinuc_ATG,0.007023,34,0.007096,0.000443,0.062381,32.815000,2.751504,True,
dinuc_TA,0.006888,35,0.006960,0.000418,0.060046,33.705000,2.639692,True,
dinuc_GT,0.006827,36,0.006805,0.000467,0.068593,34.665000,2.718966,True,
palindrome_count,0.006160,37,0.006162,0.000527,0.085575,38.040000,2.847525,True,
hp_max_G,0.006002,38,0.005996,0.000722,0.120438,39.110000,4.244750,False,
