feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
homopolymer_max_run,0.237160,1,0.237895,0.012642,0.053140,1.000000,0.000000,True,1.000000
gc_constraint_violation,0.115737,2,0.117134,0.010128,0.086462,2.470000,0.499099,True,1.000000
gc_global,0.115210,3,0.115675,0.005753,0.049736,2.530000,0.499099,True,1.000000
at_global,0.050428,4,0.050582,0.002265,0.044773,4.020000,0.140000,True,1.000000
at_skew,0.045277,5,0.045247,0.001327,0.029319,4.980000,0.140000,True,1.000000
freq_T,0.030379,6,0.030283,0.001099,0.036306,6.000000,0.000000,True,1.000000
gc_win10_mean,0.014555,7,0.014546,0.000700,0.048116,7.000000,0.000000,True,1.000000
entropy_windowed_std,0.011558,8,0.011597,0.000414,0.035742,8.290000,0.453762,True,1.000000
approx_free_energy,0.011302,9,0.011301,0.000542,0.047979,8.710000,0.453762,True,1.000000
shannon_entropy_global,0.008954,10,0.008951,0.000321,0.035884,10.250000,0.487340,True,0.775000
rle_std_run_len,0.008355,11,0.008425,0.000513,0.060907,11.060000,0.660606,True,
hp_max_C,0.007913,12,0.007879,0.000648,0.082294,11.850000,0.726292,True,
freq_A,0.007055,13,0.007113,0.000278,0.039148,12.885000,0.426351,True,
gc_skew,0.006260,14,0.006256,0.000314,0.050131,14.255000,0.489872,True,
hp_max_T,0.005901,15,0.005920,0.000473,0.079954,14.925000,0.824242,True,
dinuc_GA,0.005293,16,0.005307,0.000120,0.022690,16.180000,0.661513,True,
dinuc_AA,0.004850,17,0.004841,0.000117,0.024082,18.360000,1.058489,True,
gc_win40_mean,0.004844,18,0.004880,0.000313,0.064056,18.430000,1.721947,True,
dinuc_TG,0.004712,19,0.004693,0.000277,0.058954,19.715000,2.038081,True,
hp_max_A,0.004573,20,0.004554,0.000441,0.096913,20.955000,2.921126,True,
hairpin_score,0.004492,21,0.004486,0.000176,0.039255,21.330000,1.743875,True,
hp_max_G,0.004434,22,0.004481,0.000624,0.139174,21.440000,3.718387,False,
gc_win20_mean,0.004379,23,0.004370,0.000186,0.042461,22.350000,1.734215,True,
dinuc_TA,0.004244,24,0.004260,0.000154,0.036203,23.415000,1.625661,True,
entropy_windowed_mean,0.004163,25,0.004178,0.000218,0.052069,23.940000,1.707747,True,
homopolymer_centroid_pos,0.004042,26,0.004049,0.000233,0.057533,24.865000,1.451473,True,
dinuc_GT,0.003533,27,0.003553,0.000208,0.058668,27.015000,0.651748,True,
dinuc_GG,0.003228,28,0.003234,0.000141,0.043690,28.225000,0.833292,True,
gc_win10_std,0.003100,29,0.003107,0.000132,0.042585,29.160000,1.120000,True,
freq_G,0.002878,30,0.002892,0.000165,0.057000,31.715000,2.460442,True,
dinuc_TT,0.002835,31,0.002844,0.000112,0.039471,32.515000,2.123623,True,
gc_last_quarter,0.002827,32,0.002829,0.000166,0.058596,33.010000,3.091909,False,
repeat_fraction,0.002753,33,0.002751,0.000166,0.060465,34.650000,3.270703,False,
trinuc_ATG,0.002745,34,0.002741,0.000112,0.040733,34.805000,2.833192,True,
freq_C,0.002731,35,0.002727,0.000116,0.042355,35.035000,2.633206,True,
dinuc_CG,0.002709,36,0.002700,0.000094,0.034652,35.690000,2.450286,True,
gc_win20_std,0.002675,37,0.002689,0.000150,0.055850,35.940000,3.386207,False,
dinuc_TC,0.002645,38,0.002657,0.000130,0.048764,36.735000,3.081359,False,
dinuc_CA,0.002626,39,0.002630,0.000194,0.073647,37.645000,3.924153,False,
dinuc_CT,0.002477,40,0.002484,0.000091,0.036472,40.830000,2.064243,True,
dinuc_AG,0.002477,41,0.002481,0.000147,0.059368,40.845000,2.733308,True,
gc_first_quarter,0.002443,42,0.002468,0.000126,0.050981,41.085000,2.321158,True,
gc_win40_std,0.002401,43,0.002413,0.000134,0.055678,42.195000,2.501395,True,
palindrome_count,0.002351,44,0.002367,0.000126,0.053157,42.985000,2.131848,True,
dinuc_CC,0.002271,45,0.002258,0.000124,0.054701,44.730000,1.799194,True,
dinuc_GC,0.002193,46,0.002188,0.000097,0.044189,45.635000,1.261656,True,
gc_middle_half,0.002035,47,0.002038,0.000098,0.048157,47.725000,1.406903,True,
homopolymer_fraction,0.001956,48,0.001963,0.000170,0.086546,49.055000,2.571376,True,
trinuc_ATA,0.001921,49,0.001925,0.000092,0.047739,49.525000,1.649053,True,
dinuc_AC,0.001879,50,0.001881,0.000103,0.054934,50.445000,1.870020,True,
gc_win40_min,0.001872,51,0.001881,0.000110,0.058420,50.355000,1.920670,True,
trinuc_ACT,0.001862,52,0.001877,0.000103,0.054838,50.355000,1.813553,True,
dinuc_AT,0.001745,53,0.001753,0.000102,0.057929,52.705000,1.788288,True,
trinuc_AGC,0.001637,54,0.001641,0.000082,0.049823,54.625000,1.313155,True,
trinuc_AAG,0.001622,55,0.001630,0.000066,0.040416,54.855000,1.266481,True,
trinuc_AGA,0.001560,56,0.001556,0.000098,0.063091,56.060000,1.570478,True,
trinuc_ACG,0.001451,57,0.001468,0.000146,0.099555,57.605000,2.258091,True,
trinuc_AAA,0.001448,58,0.001452,0.000083,0.057218,57.965000,1.446988,True,
trinuc_AGG,0.001419,59,0.001421,0.000111,0.077983,58.455000,1.725681,True,
trinuc_ATT,0.001352,60,0.001364,0.000099,0.072887,59.370000,1.497698,True,
rle_n_runs,0.001252,61,0.001251,0.000076,0.060910,61.190000,1.205778,True,
trinuc_AAT,0.001214,62,0.001222,0.000082,0.067497,61.710000,1.177243,True,
trinuc_AAC,0.001141,63,0.001149,0.000099,0.085765,62.665000,1.119274,True,
homopolymer_mean_run,0.001052,64,0.001051,0.000070,0.066544,63.915000,0.823271,True,
trinuc_AGT,0.000937,65,0.000939,0.000052,0.055300,65.445000,0.864277,True,
gc_win20_max,0.000903,66,0.000909,0.000059,0.064640,65.890000,0.870575,True,
trinuc_ATC,0.000831,67,0.000841,0.000085,0.100717,66.900000,1.166190,True,
trinuc_ACC,0.000788,68,0.000786,0.000053,0.067567,67.805000,0.798107,True,
gc_win40_max,0.000661,69,0.000662,0.000064,0.097011,69.555000,0.816685,True,
inverted_repeat_count,0.000653,70,0.000658,0.000080,0.122155,69.505000,0.999987,True,
gc_win10_min,0.000581,71,0.000578,0.000042,0.072347,70.765000,0.655572,True,
trinuc_ACA,0.000486,72,0.000489,0.000040,0.081652,71.905000,0.325538,True,
gc_win20_min,0.000373,73,0.000375,0.000027,0.071406,73.000000,0.000000,True,
