feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
gc_global,0.541103,1,0.536814,0.132705,0.247208,1.000000,0.000000,True,1.000000
homopolymer_max_run,0.178084,2,0.180340,0.055688,0.308796,2.130000,0.336303,True,1.000000
at_global,0.115035,3,0.114416,0.024281,0.212216,2.875000,0.345507,True,1.000000
shannon_entropy_global,0.054346,4,0.054206,0.008121,0.149819,4.010000,0.141067,True,1.000000
gc_first_quarter,0.037715,5,0.037413,0.003864,0.103276,5.380000,0.667533,True,1.000000
entropy_windowed_mean,0.030227,6,0.030911,0.005011,0.162116,6.920000,1.379710,True,0.980000
gc_win10_mean,0.029933,7,0.029412,0.006134,0.208562,7.355000,1.583974,True,0.950000
homopolymer_centroid_pos,0.028175,8,0.028532,0.005418,0.189880,7.665000,2.040288,True,0.915000
gc_skew,0.023007,9,0.022788,0.002569,0.112724,9.995000,2.053040,True,0.665000
gc_win40_std,0.020830,10,0.020208,0.003161,0.156423,12.185000,3.066068,False,0.355000
approx_free_energy,0.020276,11,0.020192,0.002955,0.146331,12.045000,2.506586,True,
trinuc_ACG,0.019813,12,0.019939,0.002485,0.124657,12.270000,2.344590,True,
gc_win20_mean,0.018728,13,0.018677,0.004810,0.257530,14.375000,4.722751,False,
gc_win10_std,0.016979,14,0.016848,0.001969,0.116871,15.465000,2.701625,True,
gc_win40_min,0.016790,15,0.016314,0.006931,0.424844,20.080000,11.567351,False,
at_skew,0.015388,16,0.015510,0.001831,0.118054,17.305000,3.054828,False,
hairpin_score,0.015233,17,0.015159,0.002192,0.144585,17.930000,3.985612,False,
dinuc_AC,0.015096,18,0.015395,0.003692,0.239803,18.585000,6.316864,False,
dinuc_AT,0.014193,19,0.014132,0.004731,0.334764,22.190000,9.227345,False,
trinuc_AGA,0.013211,20,0.013102,0.003419,0.260935,23.115000,7.522750,False,
dinuc_TA,0.013007,21,0.012696,0.004311,0.339568,24.585000,9.067677,False,
gc_middle_half,0.012842,22,0.012685,0.005501,0.433614,26.145000,11.831060,False,
trinuc_ACC,0.012491,23,0.012601,0.001496,0.118705,22.600000,3.945884,False,
dinuc_AG,0.012416,24,0.012461,0.001449,0.116303,22.840000,3.681630,False,
homopolymer_mean_run,0.012112,25,0.012122,0.001866,0.153966,23.875000,4.747565,False,
dinuc_CT,0.011498,26,0.011579,0.001468,0.126748,25.125000,4.302252,False,
gc_win40_mean,0.011206,27,0.010948,0.002411,0.220176,27.925000,6.249750,False,
entropy_windowed_std,0.010834,28,0.010908,0.001306,0.119722,27.000000,4.241462,False,
dinuc_CA,0.010203,29,0.010005,0.001359,0.135848,30.080000,4.920732,False,
palindrome_count,0.010196,30,0.010355,0.001253,0.120984,28.750000,4.284565,False,
freq_G,0.010184,31,0.010406,0.001668,0.160279,29.175000,5.104349,False,
gc_win10_max,0.010154,32,0.010318,0.001992,0.193095,29.350000,6.124337,False,
dinuc_CG,0.009092,33,0.009030,0.002462,0.272644,33.995000,7.871148,False,
rle_std_run_len,0.008969,34,0.008916,0.001454,0.163038,33.965000,5.175304,False,
repeat_fraction,0.008939,35,0.008944,0.001149,0.128461,33.740000,4.367196,False,
dinuc_GT,0.008783,36,0.008791,0.000967,0.109999,34.190000,3.758178,False,
freq_A,0.008489,37,0.008494,0.001348,0.158712,35.310000,5.088605,False,
freq_C,0.008466,38,0.008445,0.001509,0.178742,35.365000,5.165440,False,
dinuc_GG,0.008287,39,0.008119,0.001756,0.216272,36.665000,6.357891,False,
gc_win20_std,0.007211,40,0.007215,0.001096,0.151859,40.170000,3.982600,False,
gc_win20_max,0.006971,41,0.006971,0.001388,0.199102,40.965000,5.032273,False,
gc_last_quarter,0.006720,42,0.006977,0.001508,0.216072,40.735000,5.862148,False,
trinuc_AGT,0.006645,43,0.006656,0.000885,0.133019,42.120000,3.616020,False,
dinuc_TT,0.006621,44,0.006541,0.000900,0.137565,42.635000,3.268298,False,
freq_T,0.006188,45,0.006038,0.001437,0.238004,44.305000,5.311495,False,
trinuc_AGC,0.005820,46,0.005989,0.000983,0.164061,44.385000,3.664256,False,
homopolymer_fraction,0.005579,47,0.005659,0.001350,0.238624,45.785000,4.969786,False,
trinuc_ATA,0.005163,48,0.005047,0.000825,0.163480,47.985000,3.460459,False,
trinuc_ATG,0.004962,49,0.005051,0.000919,0.182051,48.315000,3.259720,False,
trinuc_AGG,0.004658,50,0.004708,0.000612,0.129961,49.480000,2.401999,True,
trinuc_AAT,0.004039,51,0.003946,0.000774,0.196242,52.490000,2.799982,True,
dinuc_TG,0.004004,52,0.004090,0.000881,0.215335,51.705000,3.174583,False,
inverted_repeat_count,0.003931,53,0.003939,0.000677,0.171986,52.420000,2.950186,True,
gc_win10_min,0.003883,54,0.004044,0.001219,0.301463,51.990000,4.561787,False,
gc_win20_min,0.003362,55,0.003380,0.000548,0.162236,54.595000,2.537908,True,
dinuc_GC,0.003274,56,0.003314,0.000478,0.144236,54.815000,1.902833,True,
dinuc_AA,0.002804,57,0.002828,0.000508,0.179724,56.885000,1.934367,True,
dinuc_TC,0.002294,58,0.002284,0.000493,0.215731,59.085000,2.116075,True,
hp_max_T,0.002124,59,0.002124,0.000086,0.040266,59.585000,1.266008,True,
dinuc_CC,0.001935,60,0.001942,0.000454,0.233941,60.740000,2.236605,True,
trinuc_ACT,0.001866,61,0.001966,0.001173,0.596834,60.220000,4.688454,False,
dinuc_GA,0.001640,62,0.001645,0.000315,0.191217,62.180000,1.745738,True,
gc_win40_max,0.001513,63,0.001552,0.000490,0.315757,62.620000,2.442458,True,
trinuc_AAC,0.001414,64,0.001486,0.000801,0.539157,62.855000,3.073105,False,
trinuc_ATT,0.001218,65,0.001235,0.000457,0.370321,63.870000,2.145484,True,
trinuc_AAG,0.001135,66,0.001146,0.000256,0.223672,64.510000,1.109009,True,
seq_length,0.000000,67,0.000000,0.000000,,67.000000,0.000000,True,
hp_max_A,0.000000,68,0.000000,0.000000,,68.000000,0.000000,True,
hp_max_C,0.000000,69,0.000000,0.000000,,69.000000,0.000000,True,
hp_max_G,0.000000,70,0.000000,0.000000,,70.000000,0.000000,True,
trinuc_AAA,0.000000,71,0.000000,0.000000,,71.000000,0.000000,True,
trinuc_ACA,0.000000,72,0.000000,0.000000,,72.000000,0.000000,True,
trinuc_ATC,0.000000,73,0.000000,0.000000,,73.000000,0.000000,True,
dist_to_start,0.000000,74,0.000000,0.000000,,74.000000,0.000000,True,
dist_to_end,0.000000,75,0.000000,0.000000,,75.000000,0.000000,True,
gc_constraint_violation,0.000000,76,0.000000,0.000000,,76.000000,0.000000,True,
rle_n_runs,0.000000,77,0.000000,0.000000,,77.000000,0.000000,True,
rle_mean_run_len,0.000000,78,0.000000,0.000000,,78.000000,0.000000,True,
