feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
homopolymer_max_run,0.183339,1,0.183264,0.007389,0.040319,1.000000,0.000000,True,1.000000
gc_global,0.090124,2,0.090165,0.003004,0.033319,2.000000,0.000000,True,1.000000
gc_constraint_violation,0.076899,3,0.076844,0.005435,0.070731,3.000000,0.000000,True,1.000000
at_skew,0.057854,4,0.057834,0.001169,0.020212,4.000000,0.000000,True,1.000000
freq_T,0.048870,5,0.048878,0.001130,0.023117,5.020000,0.140000,True,1.000000
at_global,0.044427,6,0.044476,0.001374,0.030901,5.980000,0.140000,True,1.000000
approx_free_energy,0.013573,7,0.013598,0.000321,0.023603,7.000000,0.000000,True,1.000000
rle_std_run_len,0.009586,8,0.009614,0.000294,0.030562,8.000000,0.000000,True,1.000000
shannon_entropy_global,0.008400,9,0.008393,0.000239,0.028491,9.045000,0.207304,True,1.000000
entropy_windowed_std,0.007776,10,0.007767,0.000273,0.035165,9.960000,0.220000,True,0.995000
hp_max_T,0.006757,11,0.006753,0.000273,0.040388,11.215000,0.422818,True,
dinuc_TT,0.006526,12,0.006515,0.000173,0.026567,11.780000,0.414246,True,
gc_win10_mean,0.005879,13,0.005878,0.000175,0.029699,13.475000,0.509289,True,
gc_skew,0.005846,14,0.005853,0.000211,0.036058,13.540000,0.518073,True,
dinuc_GT,0.005295,15,0.005283,0.000093,0.017613,14.985000,0.121552,True,
gc_win20_std,0.004766,16,0.004756,0.000129,0.027186,16.620000,1.002796,True,
entropy_windowed_mean,0.004631,17,0.004636,0.000125,0.026954,17.575000,1.262686,True,
gc_win40_std,0.004603,18,0.004602,0.000094,0.020385,17.910000,1.132210,True,
trinuc_ACC,0.004498,19,0.004493,0.000077,0.017091,19.400000,1.109054,True,
gc_win40_mean,0.004440,20,0.004444,0.000114,0.025763,19.890000,1.080694,True,
dinuc_TG,0.004415,21,0.004424,0.000211,0.047752,19.690000,1.677468,True,
freq_A,0.004020,22,0.004028,0.000093,0.023049,21.985000,0.338785,True,
hp_max_C,0.003467,23,0.003475,0.000261,0.075174,23.900000,1.135782,True,
hp_max_A,0.003437,24,0.003458,0.000178,0.051473,23.890000,0.947576,True,
gc_win20_mean,0.003346,25,0.003349,0.000133,0.039565,24.585000,0.709066,True,
hp_max_G,0.003057,26,0.003052,0.000344,0.112825,26.585000,2.140742,True,
gc_win10_std,0.002831,27,0.002837,0.000095,0.033625,27.575000,1.101987,True,
inverted_repeat_count,0.002827,28,0.002829,0.000062,0.021961,27.570000,1.097770,True,
homopolymer_centroid_pos,0.002749,29,0.002749,0.000093,0.033676,28.615000,1.107599,True,
