feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
gc_global,0.214642,1,0.214411,0.003588,0.016733,1.000000,0.000000,True,1.000000
at_global,0.084083,2,0.084000,0.001558,0.018551,2.000000,0.000000,True,1.000000
homopolymer_max_run,0.047658,3,0.048098,0.002600,0.054062,3.005000,0.070534,True,1.000000
at_skew,0.041496,4,0.041476,0.000799,0.019255,3.995000,0.070534,True,1.000000
gc_win10_mean,0.016952,5,0.016952,0.000531,0.031317,5.030000,0.170587,True,1.000000
approx_free_energy,0.015644,6,0.015598,0.000454,0.029119,5.990000,0.223383,True,1.000000
freq_T,0.014348,7,0.014365,0.000457,0.031785,6.980000,0.140000,True,1.000000
dinuc_GT,0.010393,8,0.010389,0.000179,0.017205,8.005000,0.070534,True,1.000000
homopolymer_centroid_pos,0.009356,9,0.009374,0.000309,0.032987,8.995000,0.070534,True,1.000000
shannon_entropy_global,0.007155,10,0.007151,0.000196,0.027458,10.130000,0.336303,True,0.870000
dinuc_CA,0.006813,11,0.006807,0.000182,0.026733,10.880000,0.354401,True,
gc_skew,0.005996,12,0.005970,0.000241,0.040386,12.275000,0.537936,True,
freq_A,0.005767,13,0.005738,0.000282,0.049101,13.230000,0.978315,True,
gc_win10_std,0.005528,14,0.005533,0.000113,0.020511,14.135000,0.778958,True,
dinuc_TG,0.005517,15,0.005499,0.000141,0.025708,14.350000,0.698212,True,
gc_win40_mean,0.004443,16,0.004440,0.000187,0.042128,16.000000,0.000000,True,
dinuc_TC,0.003813,17,0.003820,0.000127,0.033294,17.495000,0.741603,True,
dinuc_TT,0.003759,18,0.003749,0.000151,0.040368,17.950000,0.909670,True,
entropy_windowed_std,0.003553,19,0.003554,0.000120,0.033676,19.475000,0.921615,True,
gc_win20_mean,0.003525,20,0.003524,0.000144,0.040867,19.780000,0.995791,True,
gc_first_quarter,0.003458,21,0.003446,0.000151,0.043758,20.300000,0.943398,True,
entropy_windowed_mean,0.002951,22,0.002943,0.000129,0.043974,22.135000,0.526094,True,
dinuc_CC,0.002717,23,0.002709,0.000102,0.037502,23.660000,0.896883,True,
trinuc_AAC,0.002629,24,0.002627,0.000118,0.045070,24.665000,1.625661,True,
hairpin_score,0.002529,25,0.002523,0.000131,0.051854,26.115000,1.729675,True,
inverted_repeat_count,0.002529,26,0.002528,0.000145,0.057270,26.155000,1.985189,True,
dinuc_GG,0.002470,27,0.002473,0.000132,0.053510,26.785000,1.832696,True,
trinuc_AGG,0.002469,28,0.002461,0.000119,0.048509,26.890000,1.777048,True,
trinuc_ATG,0.002375,29,0.002375,0.000072,0.030465,28.425000,1.242729,True,
gc_win40_std,0.002282,30,0.002297,0.000130,0.056583,29.290000,1.444265,True,
trinuc_AGT,0.002008,31,0.001998,0.000106,0.053098,32.365000,1.404199,True,
repeat_fraction,0.001977,32,0.001966,0.000075,0.038179,32.640000,1.261111,True,
gc_middle_half,0.001969,33,0.001975,0.000121,0.061321,32.780000,1.797665,True,
gc_win20_std,0.001926,34,0.001919,0.000114,0.059267,33.560000,1.801777,True,
dinuc_AA,0.001817,35,0.001822,0.000104,0.056916,35.505000,2.046943,True,
dinuc_AG,0.001817,36,0.001812,0.000079,0.043715,35.755000,1.324755,True,
gc_last_quarter,0.001787,37,0.001792,0.000075,0.041807,36.050000,1.437880,True,
trinuc_ACT,0.001699,38,0.001695,0.000085,0.050186,37.865000,1.522096,True,
dinuc_GA,0.001609,39,0.001616,0.000074,0.045918,39.670000,1.486977,True,
trinuc_AGC,0.001598,40,0.001599,0.000056,0.034947,39.945000,1.145415,True,
dinuc_CT,0.001525,41,0.001524,0.000066,0.043227,41.715000,1.383393,True,
dinuc_AT,0.001520,42,0.001518,0.000073,0.048025,41.660000,1.504792,True,
trinuc_ACC,0.001458,43,0.001459,0.000121,0.082719,42.880000,2.108459,True,
trinuc_ACG,0.001400,44,0.001398,0.000098,0.069949,44.050000,1.739971,True,
trinuc_ATC,0.001357,45,0.001363,0.000102,0.074489,44.815000,2.034889,True,
freq_G,0.001281,46,0.001283,0.000066,0.051634,46.585000,1.436236,True,
gc_win40_max,0.001280,47,0.001276,0.000058,0.045794,46.745000,1.319081,True,
trinuc_ACA,0.001276,48,0.001275,0.000073,0.056957,46.610000,1.444957,True,
dinuc_AC,0.001173,49,0.001163,0.000066,0.056383,48.715000,0.709771,True,
trinuc_ATT,0.001023,50,0.001021,0.000036,0.035444,50.110000,0.343366,True,
dinuc_TA,0.000895,51,0.000891,0.000052,0.058201,51.575000,0.796477,True,
trinuc_AAT,0.000838,52,0.000836,0.000066,0.079147,52.380000,1.007770,True,
hp_max_C,0.000782,53,0.000787,0.000152,0.193298,53.670000,2.636494,True,
freq_C,0.000779,54,0.000785,0.000047,0.059289,53.220000,0.825591,True,
homopolymer_fraction,0.000656,55,0.000657,0.000025,0.037603,55.620000,1.046709,True,
palindrome_count,0.000645,56,0.000642,0.000077,0.120575,56.465000,1.938756,True,
gc_win40_min,0.000622,57,0.000620,0.000037,0.059531,56.815000,1.280927,True,
dinuc_GC,0.000612,58,0.000611,0.000037,0.060606,57.270000,1.362755,True,
hp_max_A,0.000540,59,0.000548,0.000081,0.147334,59.455000,2.457229,True,
homopolymer_mean_run,0.000538,60,0.000542,0.000036,0.066530,59.735000,1.238860,True,
trinuc_ATA,0.000502,61,0.000503,0.000026,0.051268,60.930000,1.181144,True,
gc_win20_max,0.000467,62,0.000459,0.000048,0.104468,62.455000,1.548540,True,
dinuc_CG,0.000458,63,0.000461,0.000048,0.103927,62.325000,1.545760,True,
trinuc_AAG,0.000430,64,0.000433,0.000046,0.105419,63.315000,1.294517,True,
gc_win20_min,0.000370,65,0.000369,0.000025,0.068462,65.210000,0.738850,True,
trinuc_AGA,0.000354,66,0.000359,0.000037,0.103035,65.515000,0.883049,True,
gc_win10_min,0.000296,67,0.000294,0.000025,0.086178,66.955000,0.364657,True,
rle_std_run_len,0.000148,68,0.000150,0.000071,0.474553,67.950000,0.295804,True,
seq_length,0.000000,69,0.000000,0.000000,,69.000000,0.000000,True,
gc_win10_max,0.000000,70,0.000000,0.000000,,70.000000,0.000000,True,
hp_max_G,0.000000,71,0.000000,0.000000,,71.000000,0.000000,True,
hp_max_T,0.000000,72,0.000000,0.000000,,72.000000,0.000000,True,
trinuc_AAA,0.000000,73,0.000000,0.000000,,73.000000,0.000000,True,
gc_constraint_violation,0.000000,74,0.000000,0.000000,,74.000000,0.000000,True,
rle_n_runs,0.000000,75,0.000000,0.000000,,75.000000,0.000000,True,
rle_mean_run_len,0.000000,76,0.000000,0.000000,,76.000000,0.000000,True,
