feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
gc_global,0.409934,1,0.415816,0.035120,0.084461,1.000000,0.000000,True,1.000000
at_global,0.150755,2,0.152809,0.013512,0.088421,2.425000,0.494343,True,1.000000
homopolymer_max_run,0.150173,3,0.145776,0.049058,0.336533,2.575000,0.494343,True,1.000000
at_skew,0.022791,4,0.022511,0.002334,0.103668,5.350000,1.143460,True,1.000000
homopolymer_centroid_pos,0.021868,5,0.021942,0.005738,0.261488,6.140000,2.368628,True,0.940000
gc_win10_mean,0.021421,6,0.021886,0.002751,0.125704,5.465000,1.260466,True,1.000000
shannon_entropy_global,0.020582,7,0.020475,0.003122,0.152454,6.360000,1.407267,True,0.985000
gc_win20_mean,0.014658,8,0.014904,0.002109,0.141529,9.185000,1.649477,True,0.790000
gc_win40_std,0.014085,9,0.014376,0.002552,0.177521,9.545000,1.935969,True,0.740000
approx_free_energy,0.012259,10,0.011845,0.002240,0.189151,11.550000,2.099405,True,0.320000
freq_C,0.011929,11,0.011674,0.005115,0.438165,13.575000,5.695119,False,
trinuc_AGG,0.011862,12,0.011198,0.002394,0.213757,12.470000,2.925594,True,
trinuc_ACA,0.011443,13,0.011423,0.004924,0.431011,15.010000,9.082395,False,
gc_skew,0.009459,14,0.009060,0.003376,0.372607,17.650000,8.085635,False,
trinuc_AGA,0.008731,15,0.008511,0.003158,0.371060,18.760000,8.844343,False,
inverted_repeat_count,0.008616,16,0.008611,0.001262,0.146577,15.950000,2.866618,True,
gc_win40_mean,0.007745,17,0.007676,0.001983,0.258378,19.320000,5.879422,False,
freq_A,0.007665,18,0.007654,0.001003,0.130990,17.890000,2.813876,True,
trinuc_AAG,0.007327,19,0.007323,0.001038,0.141759,19.365000,3.537199,False,
gc_win10_std,0.007033,20,0.007295,0.001403,0.192328,19.700000,4.765501,False,
dinuc_GA,0.006993,21,0.006797,0.001788,0.263056,21.900000,6.254598,False,
dinuc_AG,0.006836,22,0.006781,0.001046,0.154312,21.205000,3.541606,False,
dinuc_TT,0.006826,23,0.006925,0.001217,0.175742,21.005000,4.482742,False,
trinuc_ATC,0.005909,24,0.005826,0.001328,0.227865,25.625000,6.021161,False,
dinuc_GT,0.005851,25,0.005875,0.001515,0.257880,25.540000,6.570266,False,
repeat_fraction,0.005737,26,0.005330,0.001888,0.354243,28.950000,9.611842,False,
dinuc_CT,0.005145,27,0.005254,0.001223,0.232785,28.705000,6.458945,False,
entropy_windowed_std,0.005133,28,0.005176,0.000970,0.187335,28.720000,5.731632,False,
gc_first_quarter,0.005117,29,0.005147,0.000653,0.126843,28.410000,3.748586,False,
entropy_windowed_mean,0.005079,30,0.005108,0.000673,0.131839,28.465000,4.611808,False,
freq_T,0.004980,31,0.004817,0.001244,0.258180,31.490000,6.963469,False,
gc_middle_half,0.004931,32,0.004955,0.000763,0.153932,29.700000,4.849742,False,
dinuc_TG,0.004531,33,0.004249,0.001211,0.284913,35.145000,7.824575,False,
palindrome_count,0.004367,34,0.004201,0.000992,0.236121,34.630000,6.755968,False,
gc_last_quarter,0.004293,35,0.004303,0.000813,0.188873,34.030000,6.187011,False,
dinuc_GG,0.003954,36,0.003809,0.000832,0.218484,37.655000,5.974611,False,
hairpin_score,0.003949,37,0.003889,0.000568,0.146141,36.835000,4.561554,False,
homopolymer_fraction,0.003948,38,0.004038,0.000551,0.136525,35.900000,4.751842,False,
gc_win20_std,0.003626,39,0.003637,0.000833,0.229122,39.145000,7.112241,False,
dinuc_CG,0.003525,40,0.003487,0.000592,0.169657,40.390000,5.150524,False,
dinuc_CA,0.003504,41,0.003408,0.000661,0.193900,40.925000,5.241123,False,
rle_std_run_len,0.003498,42,0.003291,0.001276,0.387869,42.515000,10.022464,False,
dinuc_AA,0.003425,43,0.003484,0.000539,0.154731,40.365000,4.572939,False,
homopolymer_mean_run,0.003284,44,0.003185,0.000575,0.180617,43.075000,4.568301,False,
trinuc_AAC,0.002996,45,0.002870,0.000721,0.251191,45.995000,5.623609,False,
dinuc_TA,0.002901,46,0.002916,0.000445,0.152679,45.185000,4.370443,False,
dinuc_AC,0.002900,47,0.002813,0.000510,0.181236,46.505000,3.878141,False,
gc_win20_max,0.002835,48,0.002859,0.000734,0.256778,45.715000,6.603315,False,
dinuc_AT,0.002672,49,0.002692,0.000444,0.164956,47.500000,4.495553,False,
dinuc_TC,0.002656,50,0.002658,0.000745,0.280393,47.880000,7.113761,False,
gc_win20_min,0.002427,51,0.002236,0.001018,0.455511,52.085000,8.288412,False,
trinuc_ACT,0.002347,52,0.002419,0.000511,0.211272,49.925000,4.844520,False,
trinuc_AGC,0.002195,53,0.002132,0.000512,0.240057,52.660000,4.700468,False,
freq_G,0.002187,54,0.002096,0.000304,0.144948,53.060000,3.253675,False,
gc_win40_min,0.001965,55,0.001919,0.000233,0.121326,54.930000,2.320582,True,
trinuc_ATG,0.001875,56,0.001891,0.000368,0.194537,55.085000,3.596912,False,
trinuc_ATA,0.001803,57,0.001738,0.000667,0.384017,56.295000,5.211331,False,
gc_win10_max,0.001773,58,0.001816,0.000250,0.137592,55.905000,2.817086,True,
trinuc_ATT,0.001652,59,0.001565,0.000281,0.179332,58.255000,2.167943,True,
trinuc_ACG,0.001284,60,0.001358,0.000480,0.353629,59.525000,4.435017,False,
hp_max_G,0.001248,61,0.001174,0.000583,0.496521,61.200000,4.130375,False,
trinuc_AAT,0.001235,62,0.001264,0.000575,0.454482,60.340000,4.516016,False,
trinuc_ACC,0.001210,63,0.001203,0.000181,0.150716,60.890000,1.788267,True,
trinuc_AGT,0.000968,64,0.000976,0.000234,0.240031,62.720000,1.723833,True,
dinuc_GC,0.000722,65,0.000694,0.000147,0.212319,64.575000,1.205975,True,
gc_win10_min,0.000503,66,0.000486,0.000152,0.311576,66.190000,1.150609,True,
dinuc_CC,0.000494,67,0.000479,0.000109,0.226703,66.110000,0.958071,True,
gc_win40_max,0.000233,68,0.000212,0.000120,0.567670,68.210000,0.725190,True,
hp_max_T,0.000106,69,0.000106,0.000013,0.125537,68.650000,0.476970,True,
seq_length,0.000000,70,0.000000,0.000000,,70.000000,0.000000,True,
hp_max_A,0.000000,71,0.000000,0.000000,,71.000000,0.000000,True,
hp_max_C,0.000000,72,0.000000,0.000000,,72.000000,0.000000,True,
trinuc_AAA,0.000000,73,0.000000,0.000000,,73.000000,0.000000,True,
gc_constraint_violation,0.000000,74,0.000000,0.000000,,74.000000,0.000000,True,
rle_n_runs,0.000000,75,0.000000,0.000000,,75.000000,0.000000,True,
rle_mean_run_len,0.000000,76,0.000000,0.000000,,76.000000,0.000000,True,
