feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
gc_global,1.262959,1,1.261277,0.084341,0.066869,1.000000,0.000000,True,1.000000
homopolymer_max_run,0.668616,2,0.666562,0.083936,0.125924,2.000000,0.000000,True,1.000000
at_global,0.267347,3,0.266544,0.019537,0.073297,3.000000,0.000000,True,1.000000
approx_free_energy,0.088212,4,0.088690,0.009317,0.105055,4.290000,0.453762,True,1.000000
homopolymer_centroid_pos,0.078706,5,0.078671,0.009192,0.116844,4.710000,0.453762,True,1.000000
shannon_entropy_global,0.053452,6,0.053675,0.002837,0.052857,6.010000,0.099499,True,1.000000
freq_A,0.034050,7,0.033564,0.003219,0.095912,7.315000,0.561939,True,1.000000
gc_win10_std,0.027934,8,0.026925,0.004198,0.155928,9.335000,1.809081,True,0.780000
gc_skew,0.025256,9,0.024708,0.003418,0.138355,10.200000,1.800000,True,0.645000
at_skew,0.024714,10,0.025430,0.003127,0.122983,9.700000,1.549193,True,0.725000
gc_win10_mean,0.023822,11,0.024591,0.006926,0.281660,11.310000,3.843683,False,
trinuc_AGA,0.020280,12,0.020541,0.002281,0.111025,13.000000,2.080865,True,
inverted_repeat_count,0.019773,13,0.019470,0.002152,0.110516,14.055000,2.133536,True,
freq_T,0.019764,14,0.019893,0.002118,0.106486,13.450000,2.011840,True,
gc_win40_std,0.018917,15,0.018483,0.002108,0.114046,14.995000,2.252771,True,
trinuc_ATT,0.018581,16,0.018293,0.002296,0.125500,15.350000,2.453059,True,
rle_std_run_len,0.017973,17,0.018250,0.002689,0.147344,15.205000,2.751904,True,
trinuc_AGT,0.014963,18,0.015058,0.001335,0.088628,19.255000,1.824822,True,
dinuc_AG,0.014242,19,0.014384,0.001364,0.094860,20.355000,2.208840,True,
gc_win40_mean,0.014098,20,0.014314,0.001403,0.097988,20.425000,2.079513,True,
gc_win20_std,0.013677,21,0.013605,0.001696,0.124645,21.250000,2.374342,True,
