feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
at_skew,0.051172,1,0.051416,0.002220,0.043176,1.000000,0.000000,True,1.000000
freq_A,0.040456,2,0.040549,0.002783,0.068634,2.000000,0.000000,True,1.000000
gc_skew,0.030104,3,0.030128,0.000755,0.025061,3.000000,0.000000,True,1.000000
gc_global,0.021045,4,0.021047,0.000065,0.003096,4.345000,0.475368,True,1.000000
homopolymer_max_run,0.020419,5,0.020299,0.002577,0.126947,4.655000,0.475368,True,1.000000
dinuc_GT,0.011358,6,0.011322,0.000407,0.035977,6.005000,0.070534,True,1.000000
at_global,0.009005,7,0.009004,0.000019,0.002113,7.450000,0.597913,True,1.000000
freq_G,0.008384,8,0.008448,0.000559,0.066118,8.720000,1.158275,True,0.935000
dinuc_AT,0.008327,9,0.008411,0.001057,0.125706,8.980000,1.769068,True,0.805000
hairpin_score,0.007706,10,0.007686,0.000246,0.032047,10.400000,1.118034,True,0.545000
shannon_entropy_global,0.007640,11,0.007601,0.000597,0.078480,10.690000,1.419119,True,
entropy_windowed_mean,0.007171,12,0.007130,0.000451,0.063265,11.835000,1.130387,True,
dinuc_AA,0.006455,13,0.006476,0.000534,0.082437,13.050000,0.920598,True,
gc_win10_mean,0.006228,14,0.006191,0.001292,0.208671,13.285000,2.300821,True,
trinuc_ACC,0.004713,15,0.004723,0.000114,0.024179,15.360000,0.685857,True,
freq_T,0.004129,16,0.004154,0.000619,0.149116,17.290000,2.045947,True,
gc_win10_min,0.004054,17,0.003953,0.000786,0.198902,18.255000,2.807129,True,
dinuc_GG,0.003964,18,0.003982,0.000550,0.138051,17.795000,2.005736,True,
freq_C,0.003620,19,0.003676,0.000479,0.130214,18.915000,1.888855,True,
trinuc_ATC,0.003346,20,0.003374,0.000331,0.098024,20.150000,1.979268,True,
approx_free_energy,0.003315,21,0.003335,0.000664,0.199176,20.975000,3.159806,False,
trinuc_ATT,0.003105,22,0.003101,0.000167,0.053977,21.640000,1.506785,True,
gc_win10_std,0.002924,23,0.002947,0.000448,0.151845,22.995000,2.593256,True,
gc_win20_mean,0.002853,24,0.002824,0.000205,0.072737,23.615000,1.589583,True,
gc_win40_std,0.002770,25,0.002748,0.000296,0.107699,24.250000,1.933261,True,
dinuc_CG,0.002382,26,0.002410,0.000229,0.095070,26.350000,1.437880,True,
gc_middle_half,0.002273,27,0.002279,0.000222,0.097396,27.260000,1.446513,True,
dinuc_CA,0.002229,28,0.002261,0.000475,0.209963,27.450000,3.078555,False,
entropy_windowed_std,0.001955,29,0.001959,0.000282,0.143968,29.375000,1.935039,True,
homopolymer_centroid_pos,0.001748,30,0.001765,0.000215,0.121991,30.815000,1.697285,True,
repeat_fraction,0.001718,31,0.001735,0.000190,0.109352,31.070000,1.665863,True,
homopolymer_fraction,0.001696,32,0.001652,0.000253,0.153254,31.720000,1.975247,True,
dinuc_CC,0.001620,33,0.001625,0.000337,0.207576,31.870000,2.524500,True,
rle_std_run_len,0.001280,34,0.001256,0.000194,0.154221,34.890000,1.495961,True,
gc_win20_max,0.001177,35,0.001155,0.000244,0.210949,35.490000,1.851999,True,
dinuc_AC,0.001142,36,0.001158,0.000278,0.240556,35.420000,2.057571,True,
hp_max_T,0.001117,37,0.001127,0.000330,0.292460,35.680000,2.382771,True,
trinuc_ACA,0.000958,38,0.000961,0.000105,0.109287,36.995000,0.891614,True,
trinuc_AGT,0.000520,39,0.000532,0.000125,0.234947,39.700000,0.953939,True,
inverted_repeat_count,0.000495,40,0.000481,0.000121,0.251835,40.215000,1.024097,True,
