feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
homopolymer_max_run,0.103992,1,0.103840,0.007179,0.069133,1.000000,0.000000,True,1.000000
at_skew,0.065668,2,0.065363,0.002818,0.043118,2.005000,0.070534,True,1.000000
gc_global,0.051572,3,0.051905,0.003301,0.063590,3.105000,0.306553,True,1.000000
gc_constraint_violation,0.041508,4,0.042510,0.007169,0.168649,4.425000,0.971790,True,1.000000
freq_T,0.038565,5,0.038510,0.001511,0.039230,4.720000,0.530660,True,1.000000
gc_win10_mean,0.035980,6,0.035895,0.001255,0.034953,5.785000,0.445842,True,1.000000
rle_std_run_len,0.029560,7,0.029338,0.002729,0.093028,6.960000,0.220000,True,1.000000
dinuc_TT,0.017441,8,0.017409,0.000687,0.039487,8.335000,0.471990,True,1.000000
freq_A,0.016686,9,0.016804,0.000841,0.050045,8.665000,0.471990,True,1.000000
dinuc_TG,0.013488,10,0.013404,0.000666,0.049693,10.040000,0.241661,True,0.970000
gc_win40_mean,0.011867,11,0.011833,0.000547,0.046237,11.515000,0.871651,True,
trinuc_ACA,0.011314,12,0.011316,0.000294,0.025987,12.375000,0.839271,True,
approx_free_energy,0.011171,13,0.011163,0.000718,0.064293,12.865000,1.306436,True,
dinuc_AC,0.010709,14,0.010665,0.000714,0.066970,13.910000,1.319811,True,
dinuc_CA,0.010318,15,0.010328,0.000484,0.046825,14.660000,0.997196,True,
gc_win20_mean,0.009806,16,0.009801,0.000299,0.030512,15.835000,0.638573,True,
gc_middle_half,0.009309,17,0.009288,0.000328,0.035336,16.825000,0.473682,True,
trinuc_AGC,0.008526,18,0.008514,0.000222,0.026127,17.975000,0.156125,True,
gc_win20_std,0.007410,19,0.007393,0.000315,0.042653,19.365000,0.617879,True,
homopolymer_centroid_pos,0.007028,20,0.007048,0.000460,0.065283,20.200000,1.126943,True,
gc_win40_std,0.006481,21,0.006494,0.000281,0.043245,21.685000,1.133920,True,
entropy_windowed_std,0.006174,22,0.006147,0.000479,0.077925,23.830000,2.530040,True,
gc_win20_max,0.006152,23,0.006152,0.000447,0.072594,23.730000,2.308051,True,
shannon_entropy_global,0.006058,24,0.006059,0.000580,0.095711,24.475000,3.101512,False,
hairpin_score,0.005903,25,0.005848,0.000367,0.062785,25.440000,2.452835,True,
hp_max_C,0.005757,26,0.005743,0.000241,0.042027,26.025000,1.960708,True,
at_global,0.005736,27,0.005774,0.000365,0.063194,26.020000,2.381092,True,
dinuc_GC,0.005726,28,0.005702,0.000274,0.048056,26.445000,2.108785,True,
gc_last_quarter,0.005421,29,0.005392,0.000374,0.069405,28.580000,2.569747,True,
trinuc_AGA,0.005067,30,0.005059,0.000289,0.057031,31.095000,2.299125,True,
freq_C,0.004949,31,0.004931,0.000318,0.064533,32.020000,2.430967,True,
trinuc_AAC,0.004932,32,0.004907,0.000180,0.036724,32.245000,1.443944,True,
dinuc_CG,0.004927,33,0.004925,0.000316,0.064135,32.160000,2.440164,True,
trinuc_ACG,0.004747,34,0.004731,0.000305,0.064528,33.570000,2.127228,True,
trinuc_AGT,0.004476,35,0.004400,0.000364,0.082662,35.940000,2.562499,True,
dinuc_GG,0.004474,36,0.004440,0.000605,0.136320,35.545000,4.324116,False,
inverted_repeat_count,0.004345,37,0.004322,0.000247,0.057185,36.415000,1.706685,True,
trinuc_AAG,0.004185,38,0.004188,0.000209,0.049917,37.385000,1.557811,True,
gc_win40_max,0.004058,39,0.004081,0.000283,0.069361,38.085000,1.904672,True,
gc_win10_std,0.003729,40,0.003712,0.000284,0.076445,40.990000,2.315146,True,
homopolymer_fraction,0.003627,41,0.003622,0.000227,0.062708,41.640000,2.144854,True,
gc_win10_max,0.003549,42,0.003569,0.000138,0.038723,41.900000,1.552417,True,
gc_first_quarter,0.003434,43,0.003437,0.000216,0.062790,43.745000,2.638176,True,
hp_max_G,0.003307,44,0.003306,0.000065,0.019779,45.325000,1.448922,True,
entropy_windowed_mean,0.003291,45,0.003281,0.000185,0.056249,45.795000,2.358596,True,
trinuc_ATC,0.003266,46,0.003261,0.000145,0.044421,45.940000,2.192350,True,
