feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
gc_global,0.099511,1,0.099491,0.004359,0.043812,1.000000,0.000000,True,1.000000
homopolymer_max_run,0.053050,2,0.053110,0.004813,0.090619,2.000000,0.000000,True,1.000000
at_skew,0.024149,3,0.024272,0.000787,0.032437,3.000000,0.000000,True,1.000000
shannon_entropy_global,0.019814,4,0.019821,0.001132,0.057112,4.675000,0.793332,True,1.000000
at_global,0.019218,5,0.019221,0.000756,0.039322,5.175000,0.751249,True,1.000000
entropy_windowed_std,0.019177,6,0.019250,0.000857,0.044538,5.160000,0.821219,True,1.000000
freq_A,0.016278,7,0.016329,0.000554,0.033956,7.045000,0.250948,True,1.000000
gc_win40_mean,0.014647,8,0.014538,0.000863,0.059331,8.335000,0.657856,True,0.990000
gc_win10_std,0.013794,9,0.013916,0.000805,0.057835,8.895000,0.862540,True,0.950000
gc_skew,0.012812,10,0.012808,0.000346,0.027050,10.325000,0.685109,True,0.630000
homopolymer_centroid_pos,0.012313,11,0.012305,0.000652,0.052950,11.470000,1.406805,True,
gc_win20_std,0.011988,12,0.011934,0.000728,0.060981,12.350000,1.538668,True,
gc_win40_std,0.011668,13,0.011663,0.000429,0.036764,13.015000,1.172508,True,
entropy_windowed_mean,0.011206,14,0.011219,0.000447,0.039843,14.145000,1.201655,True,
approx_free_energy,0.011157,15,0.011189,0.000926,0.082791,14.050000,1.901973,True,
palindrome_count,0.010205,16,0.010306,0.000718,0.069657,15.985000,1.332207,True,
dinuc_GG,0.010005,17,0.009993,0.000401,0.040122,16.650000,0.726292,True,
dinuc_TG,0.009181,18,0.009134,0.000551,0.060324,18.010000,0.910988,True,
homopolymer_mean_run,0.008496,19,0.008493,0.000422,0.049660,19.350000,0.942072,True,
dinuc_GT,0.008241,20,0.008233,0.000457,0.055472,19.875000,0.948354,True,
freq_T,0.007379,21,0.007405,0.000672,0.090731,22.125000,2.229210,True,
trinuc_ATC,0.007286,22,0.007321,0.000560,0.076505,22.365000,1.865951,True,
dinuc_GC,0.006919,23,0.006918,0.000410,0.059306,23.565000,1.823671,True,
trinuc_AGC,0.006465,24,0.006471,0.000699,0.107993,26.380000,3.757073,False,
trinuc_AGA,0.006450,25,0.006453,0.000541,0.083857,26.300000,3.226453,False,
gc_middle_half,0.006435,26,0.006407,0.000427,0.066650,26.425000,2.285689,True,
hairpin_score,0.006401,27,0.006410,0.000265,0.041392,26.275000,2.087912,True,
gc_win20_min,0.006144,28,0.006143,0.000604,0.098378,28.285000,3.617150,False,
dinuc_CA,0.006113,29,0.006088,0.000375,0.061573,28.530000,2.563026,True,
dinuc_TT,0.006056,30,0.006054,0.000289,0.047814,28.730000,2.151070,True,
gc_win20_mean,0.005807,31,0.005775,0.000804,0.139208,30.890000,4.554986,False,
dinuc_AC,0.005512,32,0.005550,0.000339,0.061009,32.090000,2.354124,True,
dinuc_AT,0.005381,33,0.005363,0.000328,0.061153,33.340000,2.261504,True,
repeat_fraction,0.005259,34,0.005216,0.000309,0.059176,34.380000,2.382352,True,
trinuc_AGT,0.005182,35,0.005174,0.000287,0.055464,34.640000,2.163423,True,
