feature,ref_importance,ref_rank,mean_importance,std_importance,cv_importance,mean_rank,std_rank,is_stable,top_k_consistency
homopolymer_max_run,0.930199,1,0.931058,0.027564,0.029605,1.000000,0.000000,True,1.000000
gc_global,0.611138,2,0.609644,0.019618,0.032180,2.000000,0.000000,True,1.000000
at_global,0.252522,3,0.251956,0.007683,0.030493,3.000000,0.000000,True,1.000000
at_skew,0.104584,4,0.104712,0.003704,0.035369,4.000000,0.000000,True,1.000000
freq_T,0.072044,5,0.072388,0.003559,0.049161,5.000000,0.000000,True,1.000000
approx_free_energy,0.035700,6,0.035668,0.001109,0.031086,6.000000,0.000000,True,1.000000
rle_std_run_len,0.023067,7,0.023094,0.000661,0.028642,7.075000,0.263391,True,1.000000
freq_A,0.021788,8,0.021856,0.000575,0.026301,7.925000,0.263391,True,1.000000
gc_win10_mean,0.019181,9,0.019061,0.000657,0.034455,9.000000,0.000000,True,1.000000
hp_max_T,0.016817,10,0.016876,0.000557,0.032992,10.005000,0.070534,True,0.995000
hp_max_C,0.014416,11,0.014465,0.000558,0.038610,10.995000,0.070534,True,
hp_max_G,0.011170,12,0.011148,0.000406,0.036374,12.130000,0.336303,True,
freq_C,0.010573,13,0.010570,0.000272,0.025699,12.870000,0.336303,True,
dinuc_CC,0.008892,14,0.008908,0.000255,0.028629,14.000000,0.000000,True,
gc_skew,0.007522,15,0.007521,0.000254,0.033732,15.010000,0.099499,True,
dinuc_AA,0.006660,16,0.006632,0.000295,0.044435,16.110000,0.397366,True,
trinuc_ACC,0.006136,17,0.006143,0.000218,0.035530,17.265000,0.595630,True,
entropy_windowed_mean,0.006018,18,0.006003,0.000216,0.035899,17.660000,0.611882,True,
trinuc_ACT,0.005471,19,0.005475,0.000133,0.024379,19.435000,0.552969,True,
trinuc_AAG,0.005438,20,0.005443,0.000180,0.033093,19.540000,0.546260,True,
homopolymer_centroid_pos,0.004813,21,0.004796,0.000211,0.043911,21.285000,0.730599,True,
dinuc_CA,0.004395,22,0.004363,0.000356,0.081533,24.745000,3.352607,False,
gc_win40_mean,0.004339,23,0.004337,0.000194,0.044733,24.455000,2.087576,True,
shannon_entropy_global,0.004326,24,0.004322,0.000202,0.046784,24.835000,2.172044,True,
gc_win40_min,0.004324,25,0.004320,0.000178,0.041220,24.665000,1.962849,True,
repeat_fraction,0.004232,26,0.004211,0.000281,0.066750,26.060000,2.954048,True,
dinuc_TT,0.004224,27,0.004215,0.000146,0.034558,25.925000,1.883979,True,
palindrome_count,0.004081,28,0.004078,0.000193,0.047424,27.655000,2.354989,True,
dinuc_GT,0.004046,29,0.004044,0.000213,0.052676,28.160000,2.466658,True,
dinuc_AG,0.003917,30,0.003916,0.000181,0.046115,29.725000,1.989818,True,
gc_last_quarter,0.003848,31,0.003833,0.000116,0.030170,30.560000,1.344024,True,
gc_win10_max,0.003656,32,0.003714,0.000369,0.099223,31.020000,3.112812,False,
gc_win10_std,0.003591,33,0.003589,0.000151,0.042162,32.585000,1.137003,True,
homopolymer_fraction,0.003391,34,0.003421,0.000177,0.051825,33.520000,1.024500,True,
trinuc_AAC,0.003094,35,0.003098,0.000132,0.042732,35.355000,0.871192,True,
hairpin_score,0.002974,36,0.002990,0.000162,0.054216,36.005000,1.051178,True,
dinuc_GG,0.002810,37,0.002800,0.000200,0.071585,37.705000,1.788288,True,
dinuc_TG,0.002717,38,0.002704,0.000145,0.053578,38.560000,1.611335,True,
dinuc_CG,0.002657,39,0.002662,0.000126,0.047289,39.010000,1.558814,True,
gc_win40_std,0.002574,40,0.002567,0.000131,0.051161,40.265000,1.762037,True,
freq_G,0.002548,41,0.002542,0.000104,0.040916,40.635000,1.421891,True,
gc_win20_mean,0.002416,42,0.002380,0.000230,0.096612,42.765000,2.513916,True,
