ablation,auroc,pr_auc,brier,ece,mean_failure_freq,frac_failed,n_pos,n_neg,n_sequences
full,0.993758389261745,0.5370284780578899,0.0024420698350516175,0.0034935344845056526,0.03693333333333334,0.006666666666666667,10,1490,1500
no_gc_skew,,,0.006341636048054528,0.015307229831152496,0.02577777777777778,0.0,0,1500,1500
no_hp_stutter,0.9909879839786382,0.09728506787330317,0.0034095375625802955,0.007670307633943025,0.031288888888888894,0.0013333333333333333,2,1498,1500
flat_skew,,,0.005979993586668537,0.014025863189498583,0.02493333333333334,0.0,0,1500,1500
