ablation,auroc,pr_auc,brier,ece,mean_failure_freq,frac_failed,n_pos,n_neg,n_sequences
full,0.9893790849673202,0.9959000443147983,0.009819231556346307,0.013366601715485194,0.6848888888888889,0.68,204,96,300
no_gc_skew,0.7160248447204969,0.36677762634332434,0.2121843521637401,0.30070715084009697,0.3846666666666667,0.23333333333333334,70,230,300
no_hp_stutter,0.5855134074558535,0.12701391104331278,0.27286188743141104,0.3988900568054782,0.28844444444444445,0.07333333333333333,22,278,300
flat_skew,0.29627118644067796,0.013502770141314454,0.31737450988760846,0.45560896832082004,0.23666666666666666,0.016666666666666666,5,295,300
