ablation,auroc,pr_auc,brier,ece,mean_failure_freq,frac_failed,n_pos,n_neg,n_sequences
full,0.705685618729097,0.9988411193835616,0.004064040672242472,0.010844717727767232,0.9335555555555556,0.9966666666666667,299,1,300
no_gc_skew,,,0.02391048887119674,0.09404099211427885,0.8528888888888889,1.0,300,0,300
no_hp_stutter,0.3959731543624161,0.9878561301714135,0.03752130388762537,0.13791831876171948,0.8062222222222223,0.9933333333333333,298,2,300
flat_skew,0.2533557046979866,0.9863123560595876,0.03374677412500409,0.13489865357345998,0.8073333333333333,0.9933333333333333,298,2,300
