ablation,auroc,pr_auc,brier,ece,mean_failure_freq,frac_failed,n_pos,n_neg,n_sequences
full,0.7310561843374106,0.7005888479288953,0.016486516935937032,0.008477201488282944,0.49124444444444443,0.43066666666666664,646,854,1500
no_gc_skew,0.6726955361469923,0.4287846315531159,0.036659763432102276,0.0781655867470635,0.42035555555555554,0.30466666666666664,457,1043,1500
no_hp_stutter,0.6667334708714019,0.25013831859399904,0.05423193198400647,0.15796590230200025,0.33977777777777785,0.13,195,1305,1500
flat_skew,0.5644650500588659,0.061202778350946715,0.07036416760764871,0.2003214578575558,0.2974222222222222,0.051333333333333335,77,1423,1500
