ablation,auroc,pr_auc,brier,ece,mean_failure_freq,frac_failed,n_pos,n_neg,n_sequences
full,0.8574830152854699,0.6038829838829107,0.014865035778593,0.0027151400665442124,0.3562222222222223,0.174,261,1239,1500
no_gc_skew,0.5488662082172702,0.05222903481728988,0.02516768533680161,0.06008043871124586,0.2965333333333333,0.042666666666666665,64,1436,1500
no_hp_stutter,0.8384424603174603,0.5345820873227795,0.01593754168766503,0.011280438711245873,0.3453333333333333,0.16,240,1260,1500
flat_skew,0.5039455204021288,0.05194611505313913,0.026418674757833705,0.057591549822356994,0.29902222222222224,0.050666666666666665,76,1424,1500
