ablation,auroc,pr_auc,brier,ece,mean_failure_freq,frac_failed,n_pos,n_neg,n_sequences
full,0.9825674325674325,0.6487905567336482,0.009323129371716265,0.006870609318878921,0.16524444444444444,0.04666666666666667,70,1430,1500
no_gc_skew,0.96875,0.08487501217809242,0.018182769633180915,0.04479214645855956,0.11684444444444443,0.0026666666666666666,4,1496,1500
no_hp_stutter,,,0.019916955764207923,0.07416992423633735,0.08746666666666666,0.0,0,1500,1500
flat_skew,,,0.02475742134037097,0.09816992423633736,0.06346666666666666,0.0,0,1500,1500
