ablation,auroc,pr_auc,brier,ece,mean_failure_freq,frac_failed,n_pos,n_neg,n_sequences
full,0.9772546821727149,0.9797880842850454,0.010777231180061405,0.015796166988710586,0.5066666666666667,0.61,183,117,300
no_gc_skew,0.7347483936177893,0.33986153048129725,0.18492289166588535,0.27917290862484107,0.22044444444444442,0.19,57,243,300
no_hp_stutter,0.5500394011032309,0.09061048690837813,0.24656102770064778,0.37928731787121955,0.12377777777777778,0.06,18,282,300
flat_skew,,,0.2697360295136224,0.41872846418039666,0.08088888888888889,0.0,0,300,300
