ablation,auroc,pr_auc,brier,ece,mean_failure_freq,frac_failed,n_pos,n_neg,n_sequences
full,,,0.0008315896166794276,0.0010649098239373413,0.012,0.0,0,300,300
no_gc_skew,,,0.0005347708351732953,0.0058239790649515484,0.0051111111111111105,0.0,0,300,300
no_hp_stutter,,,0.00021488902053783316,0.009823979064951548,0.0011111111111111111,0.0,0,300,300
flat_skew,,,0.00019191481491020958,0.010490645731618214,0.0004444444444444444,0.0,0,300,300
