ablation,auroc,pr_auc,brier,ece,mean_failure_freq,frac_failed,n_pos,n_neg,n_sequences
full,0.8815192743764173,0.08544806544096373,0.011232386855457167,0.01732224208778807,0.20288888888888887,0.02,6,294,300
no_gc_skew,,,0.019309495975525896,0.04798890875445474,0.17222222222222222,0.0,0,300,300
no_hp_stutter,0.9429546562652364,0.21892635842215674,0.012800631604985558,0.0063013357718785575,0.2157777777777778,0.023333333333333334,7,293,300
flat_skew,,,0.017617352329532907,0.04696800243854523,0.1764444444444444,0.0,0,300,300
