regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,265,0.871711,0.000000,0.072579,0.008871,0.004528,0.015326,0.002511,0.001912,0.003191
informative,33,0.108553,0.242424,0.315152,0.114026,0.096569,0.134201,0.016325,0.011145,0.023469
saturated,6,0.019737,1.000000,0.911111,0.119662,0.045759,0.211725,0.026322,0.002490,0.058008
aggregate,304,1.000000,0.046053,0.115461,0.017136,0.010710,0.024431,0.004480,0.003392,0.005788
