regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,294,0.976744,0.000000,0.035034,0.035034,0.031120,0.039175,0.002460,0.001975,0.002944
informative,7,0.023256,0.000000,0.176190,0.176190,0.166667,0.185714,0.031270,0.027778,0.034762
saturated,0,0.000000,,,,,,,,
aggregate,301,1.000000,0.000000,0.038317,0.038317,0.034214,0.043195,0.003130,0.002508,0.003786
