regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,38,0.125000,0.000000,0.109649,0.119275,0.109957,0.129363,0.015224,0.012854,0.017896
informative,253,0.832237,0.000000,0.252174,0.016808,0.008709,0.024353,0.004649,0.003743,0.005513
saturated,13,0.042763,1.000000,0.958974,0.103524,0.031662,0.215925,0.040797,0.004786,0.105144
aggregate,304,1.000000,0.042763,0.264583,0.006817,0.004563,0.017333,0.007516,0.005588,0.011346
