key,delta,comparison,n_pairs,median_diff,mean_diff,n_better,n_worse,n_tied,statistic,p_value,p_adjusted,significant_at_0.05,direction
sub01_k5_simple,1,xgb_cal_deployable_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k5_simple,2,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k5_simple,2,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k5_simple,2,xgb_cal_deployable_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k5_simple,2,benefit_model_deployable_vs_uniform,30,0.000000,0.000044,0,2,28,0.000000,0.157299,0.167382,False,ns
sub01_k5_simple,3,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k5_simple,3,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k5_simple,3,xgb_cal_deployable_vs_uniform,30,0.000000,0.000022,0,1,29,0.000000,0.317311,0.342952,False,ns
sub01_k5_simple,3,benefit_model_deployable_vs_uniform,30,0.000000,0.000111,0,4,26,0.000000,0.058782,0.066834,False,ns
sub01_k5_simple,4,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k5_simple,4,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub01_k5_simple,4,xgb_cal_deployable_vs_uniform,30,0.000000,0.000022,0,1,29,0.000000,0.317311,0.342952,False,ns
sub01_k5_simple,4,benefit_model_deployable_vs_uniform,30,0.000000,0.000111,0,4,26,0.000000,0.058782,0.066834,False,ns
sub05_k3_constrained,1,oracle_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k3_constrained,1,xgb_cal_vs_uniform,30,0.000000,0.000000,0,0,30,,,,False,ns
sub05_k3_constrained,1,xgb_cal_deployable_vs_uniform,30,0.000667,0.000600,0,18,12,0.000000,0.000175,0.000271,True,worse
sub05_k3_constrained,2,oracle_vs_uniform,30,-0.002000,-0.001889,27,1,2,8.000000,0.000009,0.000015,True,better
sub05_k3_constrained,2,xgb_cal_vs_uniform,30,-0.002000,-0.002267,29,0,1,0.000000,0.000002,0.000004,True,better
sub05_k3_constrained,2,xgb_cal_deployable_vs_uniform,30,-0.006000,-0.006267,30,0,0,0.000000,0.000002,0.000004,True,better
sub05_k3_constrained,2,benefit_model_deployable_vs_uniform,30,0.000667,0.000489,9,17,4,126.500000,0.212502,0.223262,False,ns
sub05_k3_constrained,3,oracle_vs_uniform,30,-0.002000,-0.001711,27,1,2,6.000000,0.000007,0.000012,True,better
sub05_k3_constrained,3,xgb_cal_vs_uniform,30,-0.002000,-0.001844,28,1,1,16.000000,0.000012,0.000020,True,better
