key,model,regime,n,frac_total,class_prevalence,is_degenerate,auroc,pr_auc,f1,precision,recall,accuracy,ece,brier,min_class_n
sub01_k3_constrained,xgboost,informative,0,0.000000,,True,,,,,,,,,
sub01_k3_constrained,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub01_k3_constrained,xgboost,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000011,0.000050,0.000000
sub01_k3_constrained,random_forest,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000005,0.000043,0.000000
sub01_k3_constrained,random_forest,informative,0,0.000000,,True,,,,,,,,,
sub01_k3_constrained,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub01_k3_constrained,random_forest,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000005,0.000043,0.000000
sub01_k3_constrained,logistic_regression,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001356,0.000057,0.000000
sub01_k3_constrained,logistic_regression,informative,0,0.000000,,True,,,,,,,,,
sub01_k3_constrained,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub01_k3_constrained,logistic_regression,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001356,0.000057,0.000000
sub01_k3_constrained,cnn,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000066,0.000055,0.000000
sub01_k3_constrained,cnn,informative,0,0.000000,,True,,,,,,,,,
sub01_k3_constrained,cnn,saturated,0,0.000000,,True,,,,,,,,,
sub01_k3_constrained,cnn,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000066,0.000055,0.000000
sub05_k5_simple,xgboost,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000323,0.000174,0.000000
sub05_k5_simple,xgboost,informative,0,0.000000,,True,,,,,,,,,
sub05_k5_simple,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub05_k5_simple,xgboost,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000323,0.000174,0.000000
sub05_k5_simple,random_forest,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000074,0.000170,0.000000
sub05_k5_simple,random_forest,informative,0,0.000000,,True,,,,,,,,,
sub05_k5_simple,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub05_k5_simple,random_forest,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000074,0.000170,0.000000
sub05_k5_simple,logistic_regression,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.005289,0.000228,0.000000
sub05_k5_simple,logistic_regression,informative,0,0.000000,,True,,,,,,,,,
sub05_k5_simple,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub05_k5_simple,logistic_regression,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.005289,0.000228,0.000000
sub05_k5_simple,cnn,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000535,0.000200,0.000000
sub05_k5_simple,cnn,informative,0,0.000000,,True,,,,,,,,,
sub05_k5_simple,cnn,saturated,0,0.000000,,True,,,,,,,,,
sub05_k5_simple,cnn,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000535,0.000200,0.000000
sub05_k5_constrained,xgboost,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000193,0.000073,0.000000
sub05_k5_constrained,xgboost,informative,0,0.000000,,True,,,,,,,,,
sub05_k5_constrained,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub05_k5_constrained,xgboost,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000193,0.000073,0.000000
sub05_k5_constrained,random_forest,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000220,0.000073,0.000000
sub05_k5_constrained,random_forest,informative,0,0.000000,,True,,,,,,,,,
sub05_k5_constrained,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub05_k5_constrained,random_forest,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000220,0.000073,0.000000
sub05_k5_constrained,logistic_regression,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001867,0.000079,0.000000
sub05_k5_constrained,logistic_regression,informative,0,0.000000,,True,,,,,,,,,
sub05_k5_constrained,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub05_k5_constrained,logistic_regression,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001867,0.000079,0.000000
sub05_k5_constrained,cnn,under_failure,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000138,0.000075,0.000000
sub05_k5_constrained,cnn,informative,0,0.000000,,True,,,,,,,,,
sub05_k5_constrained,cnn,saturated,0,0.000000,,True,,,,,,,,,
sub05_k5_constrained,cnn,aggregate,1500,1.000000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000138,0.000075,0.000000
sub05_k3_simple,xgboost,under_failure,641,0.427333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.017785,0.002868,0.000000
sub05_k3_simple,xgboost,informative,859,0.572667,0.041909,False,0.909478,0.396500,0.105263,1.000000,0.055556,0.960419,0.022070,0.006863,36.000000
sub05_k3_simple,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub05_k3_simple,xgboost,aggregate,1500,1.000000,0.024000,False,0.948524,0.396250,0.105263,1.000000,0.055556,0.977333,0.006332,0.005156,36.000000
sub05_k3_simple,random_forest,under_failure,641,0.427333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.019572,0.002823,0.000000
sub05_k3_simple,random_forest,informative,859,0.572667,0.041909,False,0.927552,0.328574,0.105263,1.000000,0.055556,0.960419,0.017469,0.006520,36.000000
sub05_k3_simple,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub05_k3_simple,random_forest,aggregate,1500,1.000000,0.024000,False,0.959054,0.328329,0.105263,1.000000,0.055556,0.977333,0.003195,0.004940,36.000000
sub05_k3_simple,logistic_regression,under_failure,641,0.427333,0.000000,True,,,0.000000,0.000000,0.000000,0.897036,0.133944,0.065608,0.000000
sub05_k3_simple,logistic_regression,informative,859,0.572667,0.041909,False,0.910794,0.336785,0.283262,0.167513,0.916667,0.805588,0.224670,0.073351,36.000000
sub05_k3_simple,logistic_regression,saturated,0,0.000000,,True,,,,,,,,,
sub05_k3_simple,logistic_regression,aggregate,1500,1.000000,0.024000,False,0.932529,0.306673,0.220736,0.125475,0.916667,0.844667,0.172472,0.070042,36.000000
sub05_k3_simple,cnn,under_failure,641,0.427333,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.087066,0.012575,0.000000
sub05_k3_simple,cnn,informative,859,0.572667,0.041909,False,0.821166,0.238970,0.136364,0.375000,0.083333,0.955763,0.073067,0.014133,36.000000
sub05_k3_simple,cnn,saturated,0,0.000000,,True,,,,,,,,,
sub05_k3_simple,cnn,aggregate,1500,1.000000,0.024000,False,0.878425,0.235866,0.136364,0.375000,0.083333,0.974667,0.004971,0.013467,36.000000
sub05_k3_constrained,xgboost,under_failure,1434,0.956000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.000965,0.000845,0.000000
sub05_k3_constrained,xgboost,informative,66,0.044000,0.075758,False,0.688525,0.133714,0.000000,0.000000,0.000000,0.924242,0.033524,0.009919,5.000000
sub05_k3_constrained,xgboost,saturated,0,0.000000,,True,,,,,,,,,
sub05_k3_constrained,xgboost,aggregate,1500,1.000000,0.003333,False,0.987291,0.133714,0.000000,0.000000,0.000000,0.996667,0.001768,0.001244,5.000000
sub05_k3_constrained,random_forest,under_failure,1434,0.956000,0.000000,True,,,0.000000,0.000000,0.000000,1.000000,0.001235,0.000864,0.000000
sub05_k3_constrained,random_forest,informative,66,0.044000,0.075758,False,0.762295,0.165223,0.000000,0.000000,0.000000,0.924242,0.036180,0.009405,5.000000
sub05_k3_constrained,random_forest,saturated,0,0.000000,,True,,,,,,,,,
sub05_k3_constrained,random_forest,aggregate,1500,1.000000,0.003333,False,0.990301,0.165223,0.000000,0.000000,0.000000,0.996667,0.002662,0.001240,5.000000
sub05_k3_constrained,logistic_regression,under_failure,1434,0.956000,0.000000,True,,,0.000000,0.000000,0.000000,0.997908,0.027368,0.003172,0.000000
