condition,severity,src_rate,tgt_rate,delta,direction,transfer_ece,transfer_brier,transfer_pr_auc,transfer_auroc,indist_ece,indist_brier,indist_pr_auc,indist_auroc,deg_ratio_ece,deg_ratio_brier,auroc_drop,robust_transfer_ece,robust_transfer_auroc,robust_transfer
up_very_low_1pct->5pct,up_very_low,0.01,0.05,0.04,up,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,True,True,True
up_low_to_mid_5pct->9pct,up_low_to_mid,0.05,0.09,0.039999999999999994,up,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,True,True,True
up_mild_9pct->12pct,up_mild,0.09,0.12,0.03,up,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,True,True,True
up_moderate_9pct->15pct,up_moderate,0.09,0.15,0.06,up,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.5,0.0,0.0,0.0,0.5,53333.333333333336,53333.333333333336,0.0,False,True,False
up_severe_9pct->20pct,up_severe,0.09,0.2,0.11000000000000001,up,0.468,0.468,0.468,0.5,0.0,0.0,0.0,0.5,468000.00000000006,468000.00000000006,0.0,False,True,False
up_moderate_high_12pct->18pct,up_moderate_high,0.12,0.18,0.06,up,0.10533333333333333,0.10533333333333333,0.10533333333333333,0.5,0.0,0.0,0.0,0.5,105333.33333333334,105333.33333333334,0.0,False,True,False
down_very_low_5pct->1pct,down_very_low,0.05,0.01,0.04,down,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,True,True,True
down_low_to_mid_9pct->5pct,down_low_to_mid,0.09,0.05,0.039999999999999994,down,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,True,True,True
down_mild_12pct->9pct,down_mild,0.12,0.09,0.03,down,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,True,True,True
down_moderate_15pct->9pct,down_moderate,0.15,0.09,0.06,down,0.05286857218553389,0.032314525578306774,0.0,0.5,0.01431511242200698,0.01718572778889205,0.770941659932316,0.9906954225352114,3.693199929345837,1.880311731644742,0.49069542253521137,False,False,False
down_moderate_high_18pct->12pct,down_moderate_high,0.18,0.12,0.06,down,0.1131480437280843,0.07802603245512321,0.0,0.5,0.016360032055565778,0.03140209431062813,0.8271456130358426,0.918240298817182,6.9161260408160805,2.4847397655485377,0.41824029881718205,False,False,False
down_severe_20pct->9pct,down_severe,0.2,0.09,0.11000000000000001,down,0.4763304973940055,0.28617809131971217,0.0,0.5,0.021899856090545646,0.19340951624742364,0.7595304118633872,0.7693575105855808,21.75039394891921,1.4796484520110798,0.2693575105855808,False,False,False
