condition,severity,src_rate,tgt_rate,delta,direction,transfer_ece,transfer_brier,transfer_pr_auc,transfer_auroc,indist_ece,indist_brier,indist_pr_auc,indist_auroc,deg_ratio_ece,deg_ratio_brier,auroc_drop,robust_transfer_ece,robust_transfer_auroc,robust_transfer
up_very_low_1pct->5pct,up_very_low,0.01,0.05,0.04,up,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.5,0.0,0.0,0.0,0.5,3333.3333333333335,3333.3333333333335,0.0,False,True,False
up_low_to_mid_5pct->9pct,up_low_to_mid,0.05,0.09,0.039999999999999994,up,0.04416510213563803,0.04383522642057593,0.5732722400520213,0.9398722636730108,0.0024519974504904293,0.0034085925434467774,0.13895450461488199,0.9840802675585285,18.0118874621197,12.860213082626075,0.04420800388551771,False,True,False
up_mild_9pct->12pct,up_mild,0.09,0.12,0.03,up,0.001334902104257399,0.001333336163123207,0.9750377275649735,0.9829991072371389,1.578751684371648e-06,2.8297898742741175e-09,1.0,1.0,845.5427902132041,1333.3361631232071,0.017000892762861097,False,True,False
up_moderate_9pct->15pct,up_moderate,0.09,0.15,0.06,up,0.6573349021042574,0.6573333345985956,0.7425380740111951,0.5105199988894845,1.578751684371648e-06,2.8297898742741175e-09,1.0,1.0,416363.70596550166,657333.3345985956,0.4894800011105155,False,False,False
up_severe_9pct->20pct,up_severe,0.09,0.2,0.11000000000000001,up,0.9526682354375907,0.9526666595156962,1.0,0.5,1.578751684371648e-06,2.8297898742741175e-09,1.0,1.0,603431.334305596,952666.6595156962,0.5,False,False,False
up_moderate_high_12pct->18pct,up_moderate_high,0.12,0.18,0.06,up,0.9522054412005835,0.9511896431505856,1.0,0.5,0.001071698252210506,0.0013702397172634271,0.9749110870459247,0.9848710293651783,888.5014408081246,694.177545116159,0.48487102936517834,False,False,False
down_very_low_5pct->1pct,down_very_low,0.05,0.01,0.04,down,0.0031682311976953008,0.000569314530932663,0.0,0.5,0.0024519974504904293,0.0034085925434467774,0.13895450461488199,0.9840802675585285,1.292102158206411,0.16702334575812064,0.4840802675585285,True,False,False
down_low_to_mid_9pct->5pct,down_low_to_mid,0.09,0.05,0.039999999999999994,down,0.04399843122907593,0.04399685530718144,0.08196721311475409,0.9812709030100335,1.578751684371648e-06,2.8297898742741175e-09,1.0,1.0,27869.127022713234,43996.855307181446,0.0187290969899665,False,True,False
down_mild_12pct->9pct,down_mild,0.12,0.09,0.03,down,0.0010530364872520302,3.723843725399109e-05,1.0,1.0,0.001071698252210506,0.0013702397172634271,0.9749110870459247,0.9848710293651783,0.982586735659983,0.02717658580818384,-0.015128970634821659,True,True,True
down_moderate_15pct->9pct,down_moderate,0.15,0.09,0.06,down,0.6276835646033287,0.4251557466645036,0.7575853136857222,0.9444011866862476,0.031637777785460126,0.20309478684852464,0.7871681881782129,0.6004557384821388,19.839685608127485,2.0933858188176933,-0.3439454482041088,False,True,False
down_moderate_high_18pct->12pct,down_moderate_high,0.18,0.12,0.06,down,0.9513333333333334,0.9513333333333334,0.048666666666666664,0.5,0.0,0.0,1.0,0.5,951333.3333333334,951333.3333333334,0.0,False,True,False
down_severe_20pct->9pct,down_severe,0.2,0.09,0.11000000000000001,down,0.9526666666666667,0.9526666666666667,0.04733333333333333,0.5,0.0,0.0,1.0,0.5,952666.6666666667,952666.6666666667,0.0,False,True,False
