key,delta,model,tier_fraction,val_ofr,n_val,n_runs
sub20_k3_simple,1,risk,0.0,0.9692888888888888,1500,30
sub20_k3_simple,1,risk,0.05,0.9726666666666666,1500,30
sub20_k3_simple,1,risk,0.1,0.9751999999999998,1500,30
sub20_k3_simple,1,risk,0.2,0.9806444444444445,1500,30
sub20_k3_simple,1,risk,0.3,0.9854888888888887,1500,30
sub20_k3_simple,2,risk,0.0,0.9692888888888888,1500,30
sub20_k3_simple,2,risk,0.05,0.9726222222222222,1500,30
sub20_k3_simple,2,risk,0.1,0.9750444444444446,1500,30
sub20_k3_simple,2,risk,0.2,0.980288888888889,1500,30
sub20_k3_simple,2,risk,0.3,0.985,1500,30
sub20_k3_simple,2,benefit,0.0,0.9692888888888888,1500,30
sub20_k3_simple,2,benefit,0.05,0.9645333333333335,1500,30
sub20_k3_simple,2,benefit,0.1,0.9599555555555555,1500,30
sub20_k3_simple,2,benefit,0.2,0.9494,1500,30
sub20_k3_simple,2,benefit,0.3,0.9396888888888887,1500,30
sub20_k3_simple,3,risk,0.0,0.9692888888888888,1500,30
sub20_k3_simple,3,risk,0.05,0.9740666666666667,1500,30
sub20_k3_simple,3,risk,0.1,0.9775999999999999,1500,30
sub20_k3_simple,3,risk,0.2,0.9853555555555557,1500,30
sub20_k3_simple,3,risk,0.3,0.9926222222222222,1500,30
sub20_k3_simple,3,benefit,0.0,0.9692888888888888,1500,30
sub20_k3_simple,3,benefit,0.05,0.9727555555555557,1500,30
sub20_k3_simple,3,benefit,0.1,0.9767111111111112,1500,30
sub20_k3_simple,3,benefit,0.2,0.9840888888888889,1500,30
sub20_k3_simple,3,benefit,0.3,0.9909999999999999,1500,30
sub20_k3_simple,4,risk,0.0,0.9692888888888888,1500,30
sub20_k3_simple,4,risk,0.05,0.9737777777777779,1500,30
sub20_k3_simple,4,risk,0.1,0.9768444444444445,1500,30
sub20_k3_simple,4,risk,0.2,0.9837555555555555,1500,30
sub20_k3_simple,4,risk,0.3,0.9903777777777776,1500,30
sub20_k3_simple,4,benefit,0.0,0.9692888888888888,1500,30
sub20_k3_simple,4,benefit,0.05,0.9566000000000001,1500,30
sub20_k3_simple,4,benefit,0.1,0.9448888888888889,1500,30
sub20_k3_simple,4,benefit,0.2,0.9210444444444443,1500,30
sub20_k3_simple,4,benefit,0.3,0.8974222222222222,1500,30
