key,delta,model,tier_fraction,val_ofr,n_val,n_runs
sub09_k5_simple,1,risk,0.0,0.030022222222222218,1500,30
sub09_k5_simple,1,risk,0.05,0.030333333333333334,1500,30
sub09_k5_simple,1,risk,0.1,0.031022222222222222,1500,30
sub09_k5_simple,1,risk,0.2,0.03304444444444445,1500,30
sub09_k5_simple,1,risk,0.3,0.03537777777777778,1500,30
sub09_k5_simple,2,risk,0.0,0.030022222222222218,1500,30
sub09_k5_simple,2,risk,0.05,0.02862222222222222,1500,30
sub09_k5_simple,2,risk,0.1,0.028088888888888885,1500,30
sub09_k5_simple,2,risk,0.2,0.028555555555555556,1500,30
sub09_k5_simple,2,risk,0.3,0.029466666666666662,1500,30
sub09_k5_simple,2,benefit,0.0,0.030022222222222218,1500,30
sub09_k5_simple,2,benefit,0.05,0.03379999999999999,1500,30
sub09_k5_simple,2,benefit,0.1,0.03728888888888889,1500,30
sub09_k5_simple,2,benefit,0.2,0.0386888888888889,1500,30
sub09_k5_simple,2,benefit,0.3,0.040022222222222216,1500,30
sub09_k5_simple,3,risk,0.0,0.030022222222222218,1500,30
sub09_k5_simple,3,risk,0.05,0.02964444444444444,1500,30
sub09_k5_simple,3,risk,0.1,0.030733333333333335,1500,30
sub09_k5_simple,3,risk,0.2,0.036177777777777774,1500,30
sub09_k5_simple,3,risk,0.3,0.04204444444444445,1500,30
sub09_k5_simple,3,benefit,0.0,0.030022222222222218,1500,30
sub09_k5_simple,3,benefit,0.05,0.04206666666666667,1500,30
sub09_k5_simple,3,benefit,0.1,0.05284444444444443,1500,30
sub09_k5_simple,3,benefit,0.2,0.060088888888888886,1500,30
sub09_k5_simple,3,benefit,0.3,0.06697777777777777,1500,30
sub09_k5_simple,4,risk,0.0,0.030022222222222218,1500,30
sub09_k5_simple,4,risk,0.05,0.02891111111111111,1500,30
sub09_k5_simple,4,risk,0.1,0.029444444444444436,1500,30
sub09_k5_simple,4,risk,0.2,0.03406666666666667,1500,30
sub09_k5_simple,4,risk,0.3,0.03913333333333333,1500,30
sub09_k5_simple,4,benefit,0.0,0.030022222222222218,1500,30
sub09_k5_simple,4,benefit,0.05,0.04211111111111112,1500,30
sub09_k5_simple,4,benefit,0.1,0.05228888888888888,1500,30
sub09_k5_simple,4,benefit,0.2,0.0588,1500,30
sub09_k5_simple,4,benefit,0.3,0.06522222222222222,1500,30
