key,delta,model,tier_fraction,val_ofr,n_val,n_runs
sub05_k3_constrained,1,risk,0.0,0.039066666666666666,1500,30
sub05_k3_constrained,1,risk,0.05,0.03971111111111111,1500,30
sub05_k3_constrained,1,risk,0.1,0.040444444444444436,1500,30
sub05_k3_constrained,1,risk,0.2,0.041600000000000005,1500,30
sub05_k3_constrained,1,risk,0.3,0.043022222222222226,1500,30
sub05_k3_constrained,2,risk,0.0,0.039066666666666666,1500,30
sub05_k3_constrained,2,risk,0.05,0.03228888888888889,1500,30
sub05_k3_constrained,2,risk,0.1,0.03248888888888889,1500,30
sub05_k3_constrained,2,risk,0.2,0.032888888888888884,1500,30
sub05_k3_constrained,2,risk,0.3,0.03342222222222222,1500,30
sub05_k3_constrained,2,benefit,0.0,0.039066666666666666,1500,30
sub05_k3_constrained,2,benefit,0.05,0.03953333333333334,1500,30
sub05_k3_constrained,2,benefit,0.1,0.03928888888888889,1500,30
sub05_k3_constrained,2,benefit,0.2,0.039911111111111126,1500,30
sub05_k3_constrained,2,benefit,0.3,0.040266666666666666,1500,30
sub05_k3_constrained,3,risk,0.0,0.039066666666666666,1500,30
sub05_k3_constrained,3,risk,0.05,0.033355555555555555,1500,30
sub05_k3_constrained,3,risk,0.1,0.035133333333333336,1500,30
sub05_k3_constrained,3,risk,0.2,0.03864444444444444,1500,30
sub05_k3_constrained,3,risk,0.3,0.04195555555555555,1500,30
sub05_k3_constrained,3,benefit,0.0,0.039066666666666666,1500,30
sub05_k3_constrained,3,benefit,0.05,0.05879999999999999,1500,30
sub05_k3_constrained,3,benefit,0.1,0.06055555555555556,1500,30
sub05_k3_constrained,3,benefit,0.2,0.0642,1500,30
sub05_k3_constrained,3,benefit,0.3,0.06826666666666667,1500,30
sub05_k3_constrained,4,risk,0.0,0.039066666666666666,1500,30
sub05_k3_constrained,4,risk,0.05,0.028955555555555554,1500,30
sub05_k3_constrained,4,risk,0.1,0.030488888888888885,1500,30
sub05_k3_constrained,4,risk,0.2,0.03326666666666667,1500,30
sub05_k3_constrained,4,risk,0.3,0.03579999999999999,1500,30
sub05_k3_constrained,4,benefit,0.0,0.039066666666666666,1500,30
sub05_k3_constrained,4,benefit,0.05,0.03706666666666667,1500,30
sub05_k3_constrained,4,benefit,0.1,0.03795555555555555,1500,30
sub05_k3_constrained,4,benefit,0.2,0.040466666666666665,1500,30
sub05_k3_constrained,4,benefit,0.3,0.04371111111111111,1500,30
