stratum,coverage,encoding,src_rate,tgt_rate,src_key,tgt_key,delta,direction,ece_threshold,auroc_threshold,auroc_indist,auroc_transfer,auroc_drop,ece_indist,ece_transfer,ece_ratio,brier_indist,brier_transfer,n_info_src,n_info_tgt,degenerate_src,degenerate_tgt,is_robust
k5_constrained,5,constrained,0.050000,0.010000,sub05_k5_constrained,sub01_k5_constrained,0.040000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.050000,0.090000,sub05_k5_constrained,sub09_k5_constrained,0.040000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.050000,0.120000,sub05_k5_constrained,sub12_k5_constrained,0.070000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.050000,0.150000,sub05_k5_constrained,sub15_k5_constrained,0.100000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.090000,0.010000,sub09_k5_constrained,sub01_k5_constrained,0.080000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.090000,0.050000,sub09_k5_constrained,sub05_k5_constrained,0.040000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.090000,0.120000,sub09_k5_constrained,sub12_k5_constrained,0.030000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.090000,0.150000,sub09_k5_constrained,sub15_k5_constrained,0.060000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.090000,0.180000,sub09_k5_constrained,sub18_k5_constrained,0.090000,up,2.000000,0.050000,,0.500000,,,0.267868,,,0.080641,0,222,True,False,False
k5_constrained,5,constrained,0.090000,0.200000,sub09_k5_constrained,sub20_k5_constrained,0.110000,up,2.000000,0.050000,,0.500000,,,0.366667,,,0.148687,0,291,True,False,False
k5_constrained,5,constrained,0.120000,0.010000,sub12_k5_constrained,sub01_k5_constrained,0.110000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.120000,0.050000,sub12_k5_constrained,sub05_k5_constrained,0.070000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.120000,0.090000,sub12_k5_constrained,sub09_k5_constrained,0.030000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.120000,0.150000,sub12_k5_constrained,sub15_k5_constrained,0.030000,up,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.120000,0.180000,sub12_k5_constrained,sub18_k5_constrained,0.060000,up,2.000000,0.050000,,0.500000,,,0.267868,,,0.080641,0,222,True,False,False
k5_constrained,5,constrained,0.120000,0.200000,sub12_k5_constrained,sub20_k5_constrained,0.080000,up,2.000000,0.050000,,0.500000,,,0.366667,,,0.148687,0,291,True,False,False
k5_constrained,5,constrained,0.150000,0.050000,sub15_k5_constrained,sub05_k5_constrained,0.100000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.150000,0.090000,sub15_k5_constrained,sub09_k5_constrained,0.060000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.150000,0.120000,sub15_k5_constrained,sub12_k5_constrained,0.030000,down,2.000000,0.050000,,,,,,,,,0,0,True,True,False
k5_constrained,5,constrained,0.150000,0.180000,sub15_k5_constrained,sub18_k5_constrained,0.030000,up,2.000000,0.050000,,0.500000,,,0.267868,,,0.080641,0,222,True,False,False
k5_constrained,5,constrained,0.150000,0.200000,sub15_k5_constrained,sub20_k5_constrained,0.050000,up,2.000000,0.050000,,0.500000,,,0.366667,,,0.148687,0,291,True,False,False
k5_constrained,5,constrained,0.180000,0.090000,sub18_k5_constrained,sub09_k5_constrained,0.090000,down,2.000000,0.050000,0.952159,,,0.025125,,,0.005245,,222,0,False,True,False
k5_constrained,5,constrained,0.180000,0.120000,sub18_k5_constrained,sub12_k5_constrained,0.060000,down,2.000000,0.050000,0.952159,,,0.025125,,,0.005245,,222,0,False,True,False
k5_constrained,5,constrained,0.180000,0.150000,sub18_k5_constrained,sub15_k5_constrained,0.030000,down,2.000000,0.050000,0.952159,,,0.025125,,,0.005245,,222,0,False,True,False
k5_constrained,5,constrained,0.180000,0.200000,sub18_k5_constrained,sub20_k5_constrained,0.020000,up,2.000000,0.050000,0.952159,0.922500,0.029660,0.025125,0.140435,5.589434,0.005245,0.026665,222,291,False,False,False
k5_constrained,5,constrained,0.200000,0.090000,sub20_k5_constrained,sub09_k5_constrained,0.110000,down,2.000000,0.050000,0.891044,,,0.017546,,,0.007492,,291,0,False,True,False
k5_constrained,5,constrained,0.200000,0.120000,sub20_k5_constrained,sub12_k5_constrained,0.080000,down,2.000000,0.050000,0.891044,,,0.017546,,,0.007492,,291,0,False,True,False
k5_constrained,5,constrained,0.200000,0.150000,sub20_k5_constrained,sub15_k5_constrained,0.050000,down,2.000000,0.050000,0.891044,,,0.017546,,,0.007492,,291,0,False,True,False
