condition,accuracy,precision,recall,f1,auroc,pr_auc,brier,reliability,resolution,uncertainty,ece,delta_ece,delta_pr_auc,delta_brier
full,0.97,0.0,0.0,0.0,0.9307432432432433,0.13713818860877686,0.01998466207053057,0.009805623707286163,0.002648309178743961,0.013155555555555557,0.023316075758387646,,,
no_kmer,0.9766666666666667,0.2,0.25,0.2222222222222222,0.9603040540540541,0.21280701754385964,0.01780754694255672,0.007255637278323951,0.0020913928012519564,0.013155555555555557,0.0188218442350626,-0.004494231523325048,0.07566882893508278,-0.0021771151279738506
no_homopolymer,0.97,0.0,0.0,0.0,0.9282094594594594,0.12864797081623347,0.020317977380938004,0.01109202266051455,0.0035365079365079367,0.013155555555555557,0.022913133294011158,-0.00040294246437648853,-0.008490217792543386,0.0003333153104074331
no_gc_composition,0.98,0.25,0.25,0.25,0.9611486486486486,0.33214285714285713,0.012385068064127659,0.008879558748650164,0.009833959311424103,0.013155555555555557,0.03127328435890376,0.007957208600516113,0.19500466853408027,-0.007599594006402912
no_structural,0.9766666666666667,0.2,0.25,0.2222222222222222,0.9341216216216216,0.15408040027605246,0.018669552723136664,0.008061950580218151,0.002370011947431302,0.013155555555555557,0.020944511061534287,-0.0023715646968533594,0.01694221166727561,-0.0013151093473939071
no_positional,0.9633333333333334,0.0,0.0,0.0,0.9349662162162162,0.13680555555555554,0.02105971292066893,0.013149963361108363,0.004870356999598877,0.013155555555555557,0.027916140120166046,0.0046000643617784,-0.0003326330532213151,0.00107505085013836
