condition,accuracy,precision,recall,f1,auroc,pr_auc,brier,reliability,resolution,uncertainty,ece,delta_ece,delta_pr_auc,delta_brier
full,0.7006578947368421,0.6585365853658537,0.6230769230769231,0.6403162055335968,0.7709106984969054,0.7272429697840324,0.19693182115328886,0.008889123309188738,0.055525510945206726,0.24476281163434904,0.07227231910158145,,,
no_kmer,0.680921052631579,0.6240601503759399,0.6384615384615384,0.6311787072243346,0.7603448275862069,0.712486151985106,0.19971673523101494,0.007985895655390913,0.053543315951718004,0.24476281163434904,0.07525590218995748,0.0029835830883760267,-0.014756817798926347,0.002784914077726075
no_homopolymer,0.6677631578947368,0.6239316239316239,0.5615384615384615,0.5910931174089069,0.7229442970822282,0.6907524398343685,0.20996867094842528,0.008039923887062693,0.04139791090782762,0.24476281163434904,0.07537069686345364,0.0030983777618721897,-0.03649052994966384,0.013036849795136418
no_gc_composition,0.6578947368421053,0.6,0.6,0.6,0.7375994694960212,0.6993581361993513,0.206138722823715,0.010459959167373988,0.04837615597723326,0.24476281163434904,0.07558234839847214,0.0033100292968906847,-0.02788483358468108,0.009206901670426149
no_structural,0.7072368421052632,0.664,0.6384615384615384,0.6509803921568628,0.7703801945181256,0.7281486720689299,0.19627405449029733,0.012464165970010549,0.05848388536329614,0.24476281163434904,0.08368576048432214,0.011413441382740683,0.0009057022848975027,-0.0006577666629915269
no_positional,0.6842105263157895,0.6416666666666667,0.5923076923076923,0.616,0.7528735632183908,0.7135459536835415,0.20087268872421132,0.0077914854398110365,0.05241170437458138,0.24476281163434904,0.07479526131953065,0.0025229422179492006,-0.0136970161004909,0.003940867570922463
