condition,accuracy,precision,recall,f1,auroc,pr_auc,brier,reliability,resolution,uncertainty,ece,delta_ece,delta_pr_auc,delta_brier
full,1.0,0.0,0.0,0.0,0.5,0.0,1.9050003373284659e-07,1.7477817770790012e-07,0.0,0.0,0.0004180648008477874,,,
no_kmer,1.0,0.0,0.0,0.0,0.5,0.0,1.9050003373284659e-07,1.7477817770790012e-07,0.0,0.0,0.0004180648008477874,0.0,0.0,0.0
no_homopolymer,1.0,0.0,0.0,0.0,0.5,0.0,1.9050003373284659e-07,1.7477817770790012e-07,0.0,0.0,0.0004180648008477874,0.0,0.0,0.0
no_gc_composition,1.0,0.0,0.0,0.0,0.5,0.0,1.9050003373284659e-07,1.7477817770790012e-07,0.0,0.0,0.0004180648008477874,0.0,0.0,0.0
no_structural,1.0,0.0,0.0,0.0,0.5,0.0,1.9050003373284659e-07,1.7477817770790012e-07,0.0,0.0,0.0004180648008477874,0.0,0.0,0.0
no_positional,1.0,0.0,0.0,0.0,0.5,0.0,1.9470676789723868e-07,1.7712571513319222e-07,0.0,0.0,0.0004208630598344219,2.7982589866345294e-06,0.0,4.206734164392095e-09
