condition,accuracy,precision,recall,f1,auroc,pr_auc,brier,reliability,resolution,uncertainty,ece,delta_ece,delta_pr_auc,delta_brier
full,0.9966666666666667,0.0,0.0,0.0,0.9840802675585285,0.13895450461488199,0.0034085925434467774,0.0006447846964936377,0.0005262490678598061,0.0033222222222222225,0.0024519974504904293,,,
no_kmer,0.9966666666666667,0.0,0.0,0.0,0.9814046822742475,0.128227219934537,0.003275188434697764,0.00024727989086098116,0.00012937625754527168,0.0033222222222222225,0.00228892011115992,-0.0001630773393305092,-0.010727284680344978,-0.00013340410874901343
no_homopolymer,0.9966666666666667,0.0,0.0,0.0,0.968428093645485,0.05678039031217482,0.0037768874404903747,0.000520791610434777,7.457121551081283e-08,0.0033222222222222225,0.0036137404534765665,0.0011617430029861372,-0.08217411430270716,0.0003682948970435973
no_gc_composition,0.9966666666666667,0.0,0.0,0.0,0.9587959866220735,0.07844530244530244,0.0033318192234716056,0.00015820347166242108,4.462293618920125e-08,0.0033222222222222225,0.0019847019508245772,-0.00046729549966585205,-0.06050920216957954,-7.677331997517182e-05
no_structural,0.9966666666666667,0.0,0.0,0.0,0.9832775919732442,0.12549386845039018,0.0034231918904144417,0.0003480691661635702,9.129062863112563e-05,0.0033222222222222225,0.0023220016842563688,-0.0001299957662340605,-0.013460636164491807,1.4599346967664358e-05
no_positional,0.996,0.0,0.0,0.0,0.9867558528428093,0.13307692307692306,0.0034611490541308168,0.0005544358238897649,0.0003262571919599492,0.0033222222222222225,0.002006895492226856,-0.00044510195826357336,-0.00587758153795892,5.255651068403937e-05
