condition,accuracy,precision,recall,f1,auroc,pr_auc,brier,reliability,resolution,uncertainty,ece,delta_ece,delta_pr_auc,delta_brier
full,0.86,0.8846153846153846,0.9656488549618321,0.9233576642335767,0.8785656890317397,0.9826447389723292,0.09283919611905825,0.017753373633920565,0.03388932809369703,0.11062222222222225,0.06262368453045683,,,
no_kmer,0.8633333333333333,0.8960573476702509,0.9541984732824428,0.9242144177449169,0.8827842507030935,0.983005458487817,0.09260338362490032,0.01527010457162818,0.032437626841269725,0.11062222222222225,0.06896470986306667,0.006341025332609843,0.0003607195154877729,-0.00023581249415792482
no_homopolymer,0.8633333333333333,0.887719298245614,0.9656488549618321,0.9250457038391224,0.8114704700683005,0.9692823487994097,0.09857061327297209,0.006676842825972736,0.01881849387093843,0.11062222222222225,0.046484191728135005,-0.016139492802321825,-0.013362390172919514,0.0057314171539138425
no_gc_composition,0.87,0.8858131487889274,0.9770992366412213,0.9292196007259528,0.8422057051024507,0.9757280177711292,0.09525509449910015,0.011141873537505703,0.025893901420217212,0.11062222222222225,0.05234725495179492,-0.010276429578661907,-0.006916721201200016,0.0024158983800419004
no_structural,0.86,0.8900709219858156,0.9580152671755725,0.9227941176470589,0.8789674568099639,0.9826683366922465,0.09080940022337498,0.017164909135733982,0.0357718307835955,0.11062222222222225,0.06169189804544052,-0.0009317864850163088,2.359771991733428e-05,-0.0020297958956832646
no_positional,0.8733333333333333,0.9028776978417267,0.9580152671755725,0.9296296296296296,0.883587786259542,0.9832170372666811,0.09183138755714862,0.01816109079733581,0.036567703475261476,0.11062222222222225,0.06974051554997761,0.007116831019520778,0.0005722982943519028,-0.0010078085619096289
