condition,accuracy,precision,recall,f1,auroc,pr_auc,brier,reliability,resolution,uncertainty,ece,delta_ece,delta_pr_auc,delta_brier
full,1.0,0.0,0.0,0.0,0.5,0.0,2.040817530122668e-08,2.040817530122668e-08,0.0,0.0,0.0001428571849828586,,,
no_kmer,1.0,0.0,0.0,0.0,0.5,0.0,2.040817530122668e-08,2.040817530122668e-08,0.0,0.0,0.0001428571849828586,0.0,0.0,0.0
no_homopolymer,1.0,0.0,0.0,0.0,0.5,0.0,2.040817530122668e-08,2.040817530122668e-08,0.0,0.0,0.0001428571849828586,0.0,0.0,0.0
no_gc_composition,1.0,0.0,0.0,0.0,0.5,0.0,2.040817530122668e-08,2.040817530122668e-08,0.0,0.0,0.0001428571849828586,0.0,0.0,0.0
no_structural,1.0,0.0,0.0,0.0,0.5,0.0,2.040817530122668e-08,2.040817530122668e-08,0.0,0.0,0.0001428571849828586,0.0,0.0,0.0
no_positional,1.0,0.0,0.0,0.0,0.5,0.0,2.040817530122668e-08,2.040817530122668e-08,0.0,0.0,0.0001428571849828586,0.0,0.0,0.0
