condition,accuracy,precision,recall,f1,auroc,pr_auc,brier,reliability,resolution,uncertainty,ece,delta_ece,delta_pr_auc,delta_brier
full,1.0,0.0,0.0,0.0,0.5,0.0,8.163263468185961e-08,8.163263468185961e-08,0.0,0.0,0.00028571425355039537,,,
no_kmer,1.0,0.0,0.0,0.0,0.5,0.0,8.163263468185961e-08,8.163263468185961e-08,0.0,0.0,0.00028571425355039537,0.0,0.0,0.0
no_homopolymer,1.0,0.0,0.0,0.0,0.5,0.0,8.163263468185961e-08,8.163263468185961e-08,0.0,0.0,0.00028571425355039537,0.0,0.0,0.0
no_gc_composition,1.0,0.0,0.0,0.0,0.5,0.0,8.163263468185961e-08,8.163263468185961e-08,0.0,0.0,0.00028571425355039537,0.0,0.0,0.0
no_structural,1.0,0.0,0.0,0.0,0.5,0.0,8.163263468185961e-08,8.163263468185961e-08,0.0,0.0,0.00028571425355039537,0.0,0.0,0.0
no_positional,1.0,0.0,0.0,0.0,0.5,0.0,8.163263468185961e-08,8.163263468185961e-08,0.0,0.0,0.00028571425355039537,0.0,0.0,0.0
