threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.000000,0.000000,0.000000,0.766667,0.500000,0.000000,0.010677
0.150000,0.000000,0.000000,0.000000,0.863333,0.500000,0.000000,0.010677
0.200000,0.000000,0.000000,0.000000,0.966667,0.500000,0.000000,0.010677
0.250000,0.000000,0.000000,0.000000,0.993333,0.500000,0.000000,0.010677
0.300000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.350000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.400000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.450000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.500000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.550000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.600000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.650000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.700000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.750000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.800000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.850000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
0.900000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,0.010677
