threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.150000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.200000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.250000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.300000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.350000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.400000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.450000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.500000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.550000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.600000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.650000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.700000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.039080
0.750000,1.000000,0.979333,0.989559,0.979333,0.500000,1.000000,0.039080
0.800000,1.000000,0.515333,0.680158,0.515333,0.500000,1.000000,0.039080
0.850000,1.000000,0.053333,0.101266,0.053333,0.500000,1.000000,0.039080
0.900000,1.000000,0.047333,0.090388,0.047333,0.500000,1.000000,0.039080
