threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.825581,1.000000,0.904459,0.990000,1.000000,1.000000,0.008488
0.150000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.008488
0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.008488
0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.008488
0.300000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.008488
0.350000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.008488
0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.008488
0.450000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.008488
0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.008488
0.550000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.008488
0.600000,1.000000,0.985915,0.992908,0.999333,1.000000,1.000000,0.008488
0.650000,1.000000,0.915493,0.955882,0.996000,1.000000,1.000000,0.008488
0.700000,1.000000,0.816901,0.899225,0.991333,1.000000,1.000000,0.008488
0.750000,1.000000,0.718310,0.836066,0.986667,1.000000,1.000000,0.008488
0.800000,1.000000,0.619718,0.765217,0.982000,1.000000,1.000000,0.008488
0.850000,1.000000,0.281690,0.439560,0.966000,1.000000,1.000000,0.008488
0.900000,1.000000,0.028169,0.054795,0.954000,1.000000,1.000000,0.008488
