threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.105333,1.000000,0.190591,0.105333,0.930799,0.835311,0.098727
0.150000,0.105544,1.000000,0.190937,0.107333,0.930799,0.835311,0.098727
0.200000,0.110258,1.000000,0.198617,0.150000,0.930799,0.835311,0.098727
0.250000,0.121894,0.993671,0.217151,0.245333,0.930799,0.835311,0.098727
0.300000,0.191919,0.962025,0.320000,0.569333,0.930799,0.835311,0.098727
0.350000,0.414330,0.841772,0.555324,0.858000,0.930799,0.835311,0.098727
0.400000,0.808219,0.746835,0.776316,0.954667,0.930799,0.835311,0.098727
0.450000,0.911290,0.715190,0.801418,0.962667,0.930799,0.835311,0.098727
0.500000,0.949580,0.715190,0.815884,0.966000,0.930799,0.835311,0.098727
0.550000,0.982609,0.715190,0.827839,0.968667,0.930799,0.835311,0.098727
0.600000,0.982456,0.708861,0.823529,0.968000,0.930799,0.835311,0.098727
0.650000,1.000000,0.696203,0.820896,0.968000,0.930799,0.835311,0.098727
0.700000,1.000000,0.664557,0.798479,0.964667,0.930799,0.835311,0.098727
0.750000,1.000000,0.518987,0.683333,0.949333,0.930799,0.835311,0.098727
0.800000,1.000000,0.265823,0.420000,0.922667,0.930799,0.835311,0.098727
0.850000,1.000000,0.025316,0.049383,0.897333,0.930799,0.835311,0.098727
0.900000,0.000000,0.000000,0.000000,0.894667,0.930799,0.835311,0.098727
