threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.150000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.200000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.250000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.300000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.350000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.400000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.450000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.500000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.550000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.600000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.650000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.700000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.014072
0.750000,1.000000,0.986000,0.992951,0.986000,0.500000,1.000000,0.014072
0.800000,1.000000,0.820000,0.901099,0.820000,0.500000,1.000000,0.014072
0.850000,1.000000,0.670667,0.802873,0.670667,0.500000,1.000000,0.014072
0.900000,1.000000,0.660667,0.795664,0.660667,0.500000,1.000000,0.014072
