threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.058140,1.000000,0.109890,0.136000,0.989674,0.765827,0.035490
0.150000,0.200000,1.000000,0.333333,0.786667,0.989674,0.765827,0.035490
0.200000,0.592593,1.000000,0.744186,0.963333,0.989674,0.765827,0.035490
0.250000,0.650407,1.000000,0.788177,0.971333,0.989674,0.765827,0.035490
0.300000,0.689655,1.000000,0.816327,0.976000,0.989674,0.765827,0.035490
0.350000,0.701754,1.000000,0.824742,0.977333,0.989674,0.765827,0.035490
0.400000,0.706422,0.962500,0.814815,0.976667,0.989674,0.765827,0.035490
0.450000,0.724490,0.887500,0.797753,0.976000,0.989674,0.765827,0.035490
0.500000,0.738462,0.600000,0.662069,0.967333,0.989674,0.765827,0.035490
0.550000,0.785714,0.275000,0.407407,0.957333,0.989674,0.765827,0.035490
0.600000,0.857143,0.075000,0.137931,0.950000,0.989674,0.765827,0.035490
0.650000,1.000000,0.025000,0.048780,0.948000,0.989674,0.765827,0.035490
0.700000,0.000000,0.000000,0.000000,0.946667,0.989674,0.765827,0.035490
0.750000,0.000000,0.000000,0.000000,0.946667,0.989674,0.765827,0.035490
0.800000,0.000000,0.000000,0.000000,0.946667,0.989674,0.765827,0.035490
0.850000,0.000000,0.000000,0.000000,0.946667,0.989674,0.765827,0.035490
0.900000,0.000000,0.000000,0.000000,0.946667,0.989674,0.765827,0.035490
