threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.468000,1.000000,0.637602,0.468000,0.771123,0.764714,0.208967
0.150000,0.468000,1.000000,0.637602,0.468000,0.771123,0.764714,0.208967
0.200000,0.468000,1.000000,0.637602,0.468000,0.771123,0.764714,0.208967
0.250000,0.468000,1.000000,0.637602,0.468000,0.771123,0.764714,0.208967
0.300000,0.481812,1.000000,0.650301,0.496667,0.771123,0.764714,0.208967
0.350000,0.497519,1.000000,0.664458,0.527333,0.771123,0.764714,0.208967
0.400000,0.527090,0.970085,0.683049,0.578667,0.771123,0.764714,0.208967
0.450000,0.583415,0.851852,0.692530,0.646000,0.771123,0.764714,0.208967
0.500000,0.733463,0.537037,0.620066,0.692000,0.771123,0.764714,0.208967
0.550000,0.872146,0.272080,0.414767,0.640667,0.771123,0.764714,0.208967
0.600000,0.954887,0.180912,0.304192,0.612667,0.771123,0.764714,0.208967
0.650000,0.957983,0.162393,0.277710,0.604667,0.771123,0.764714,0.208967
0.700000,0.974138,0.160969,0.276284,0.605333,0.771123,0.764714,0.208967
0.750000,0.982456,0.159544,0.274510,0.605333,0.771123,0.764714,0.208967
0.800000,1.000000,0.153846,0.266667,0.604000,0.771123,0.764714,0.208967
0.850000,1.000000,0.146724,0.255901,0.600667,0.771123,0.764714,0.208967
0.900000,1.000000,0.095442,0.174252,0.576667,0.771123,0.764714,0.208967
