threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.833333,1.000000,0.909091,0.872549,0.995703,0.997311,0.060119
0.150000,0.955882,1.000000,0.977444,0.970588,0.995703,0.997311,0.060119
0.200000,0.970149,1.000000,0.984848,0.980392,0.995703,0.997311,0.060119
0.250000,0.970149,1.000000,0.984848,0.980392,0.995703,0.997311,0.060119
0.300000,0.970149,1.000000,0.984848,0.980392,0.995703,0.997311,0.060119
0.350000,0.970149,1.000000,0.984848,0.980392,0.995703,0.997311,0.060119
0.400000,0.970000,0.994872,0.982278,0.977124,0.995703,0.997311,0.060119
0.450000,0.969849,0.989744,0.979695,0.973856,0.995703,0.997311,0.060119
0.500000,0.974747,0.989744,0.982188,0.977124,0.995703,0.997311,0.060119
0.550000,0.974490,0.979487,0.976982,0.970588,0.995703,0.997311,0.060119
0.600000,0.989362,0.953846,0.971279,0.964052,0.995703,0.997311,0.060119
0.650000,0.994012,0.851282,0.917127,0.901961,0.995703,0.997311,0.060119
0.700000,1.000000,0.676923,0.807339,0.794118,0.995703,0.997311,0.060119
0.750000,1.000000,0.425641,0.597122,0.633987,0.995703,0.997311,0.060119
0.800000,1.000000,0.169231,0.289474,0.470588,0.995703,0.997311,0.060119
0.850000,1.000000,0.071795,0.133971,0.408497,0.995703,0.997311,0.060119
0.900000,0.000000,0.000000,0.000000,0.362745,0.995703,0.997311,0.060119
