threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.878289,1.000000,0.935201,0.878289,0.897358,0.985929,0.083448
0.150000,0.878289,1.000000,0.935201,0.878289,0.897358,0.985929,0.083448
0.200000,0.878289,1.000000,0.935201,0.878289,0.897358,0.985929,0.083448
0.250000,0.878289,1.000000,0.935201,0.878289,0.897358,0.985929,0.083448
0.300000,0.878289,1.000000,0.935201,0.878289,0.897358,0.985929,0.083448
0.350000,0.878289,1.000000,0.935201,0.878289,0.897358,0.985929,0.083448
0.400000,0.878289,1.000000,0.935201,0.878289,0.897358,0.985929,0.083448
0.450000,0.891525,0.985019,0.935943,0.881579,0.897358,0.985929,0.083448
0.500000,0.907063,0.913858,0.910448,0.842105,0.897358,0.985929,0.083448
0.550000,0.982143,0.823970,0.896130,0.832237,0.897358,0.985929,0.083448
0.600000,0.995122,0.764045,0.864407,0.789474,0.897358,0.985929,0.083448
0.650000,0.995050,0.752809,0.857143,0.779605,0.897358,0.985929,0.083448
0.700000,0.995000,0.745318,0.852248,0.773026,0.897358,0.985929,0.083448
0.750000,1.000000,0.745318,0.854077,0.776316,0.897358,0.985929,0.083448
0.800000,1.000000,0.745318,0.854077,0.776316,0.897358,0.985929,0.083448
0.850000,1.000000,0.745318,0.854077,0.776316,0.897358,0.985929,0.083448
0.900000,1.000000,0.726592,0.841649,0.759868,0.897358,0.985929,0.083448
