threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.659333,1.000000,0.794697,0.659333,0.997778,0.999057,0.029329
0.150000,0.659333,1.000000,0.794697,0.659333,0.997778,0.999057,0.029329
0.200000,0.664872,0.998989,0.798384,0.667333,0.997778,0.999057,0.029329
0.250000,0.848667,0.997978,0.917286,0.881333,0.997778,0.999057,0.029329
0.300000,0.984032,0.996967,0.990457,0.987333,0.997778,0.999057,0.029329
0.350000,0.994955,0.996967,0.995960,0.994667,0.997778,0.999057,0.029329
0.400000,0.997976,0.996967,0.997471,0.996667,0.997778,0.999057,0.029329
0.450000,0.997976,0.996967,0.997471,0.996667,0.997778,0.999057,0.029329
0.500000,0.997976,0.996967,0.997471,0.996667,0.997778,0.999057,0.029329
0.550000,0.997976,0.996967,0.997471,0.996667,0.997778,0.999057,0.029329
0.600000,0.997976,0.996967,0.997471,0.996667,0.997778,0.999057,0.029329
0.650000,0.997976,0.996967,0.997471,0.996667,0.997778,0.999057,0.029329
0.700000,0.997974,0.995956,0.996964,0.996000,0.997778,0.999057,0.029329
0.750000,0.997961,0.989889,0.993909,0.992000,0.997778,0.999057,0.029329
0.800000,0.998954,0.965622,0.982005,0.976667,0.997778,0.999057,0.029329
0.850000,0.998873,0.895854,0.944563,0.930667,0.997778,0.999057,0.029329
0.900000,1.000000,0.638018,0.779012,0.761333,0.997778,0.999057,0.029329
