threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.048667,1.000000,0.092816,0.048667,0.985332,0.976336,0.054096
0.150000,0.048667,1.000000,0.092816,0.048667,0.985332,0.976336,0.054096
0.200000,0.049660,1.000000,0.094621,0.068667,0.985332,0.976336,0.054096
0.250000,0.217523,0.986301,0.356436,0.826667,0.985332,0.976336,0.054096
0.300000,0.934211,0.972603,0.953020,0.995333,0.985332,0.976336,0.054096
0.350000,1.000000,0.972603,0.986111,0.998667,0.985332,0.976336,0.054096
0.400000,1.000000,0.972603,0.986111,0.998667,0.985332,0.976336,0.054096
0.450000,1.000000,0.972603,0.986111,0.998667,0.985332,0.976336,0.054096
0.500000,1.000000,0.972603,0.986111,0.998667,0.985332,0.976336,0.054096
0.550000,1.000000,0.972603,0.986111,0.998667,0.985332,0.976336,0.054096
0.600000,1.000000,0.972603,0.986111,0.998667,0.985332,0.976336,0.054096
0.650000,1.000000,0.972603,0.986111,0.998667,0.985332,0.976336,0.054096
0.700000,1.000000,0.972603,0.986111,0.998667,0.985332,0.976336,0.054096
0.750000,1.000000,0.972603,0.986111,0.998667,0.985332,0.976336,0.054096
0.800000,1.000000,0.958904,0.979021,0.998000,0.985332,0.976336,0.054096
0.850000,1.000000,0.917808,0.957143,0.996000,0.985332,0.976336,0.054096
0.900000,1.000000,0.780822,0.876923,0.989333,0.985332,0.976336,0.054096
