threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.070423,1.000000,0.131579,0.956000,0.987960,0.179282,0.006661
0.150000,0.072464,1.000000,0.135135,0.957333,0.987960,0.179282,0.006661
0.200000,0.079365,1.000000,0.147059,0.961333,0.987960,0.179282,0.006661
0.250000,0.090909,1.000000,0.166667,0.966667,0.987960,0.179282,0.006661
0.300000,0.093023,0.800000,0.166667,0.973333,0.987960,0.179282,0.006661
0.350000,0.121212,0.800000,0.210526,0.980000,0.987960,0.179282,0.006661
0.400000,0.153846,0.400000,0.222222,0.990667,0.987960,0.179282,0.006661
0.450000,0.000000,0.000000,0.000000,0.994667,0.987960,0.179282,0.006661
0.500000,0.000000,0.000000,0.000000,0.996667,0.987960,0.179282,0.006661
0.550000,0.000000,0.000000,0.000000,0.996667,0.987960,0.179282,0.006661
0.600000,0.000000,0.000000,0.000000,0.996667,0.987960,0.179282,0.006661
0.650000,0.000000,0.000000,0.000000,0.996667,0.987960,0.179282,0.006661
0.700000,0.000000,0.000000,0.000000,0.996667,0.987960,0.179282,0.006661
0.750000,0.000000,0.000000,0.000000,0.996667,0.987960,0.179282,0.006661
0.800000,0.000000,0.000000,0.000000,0.996667,0.987960,0.179282,0.006661
0.850000,0.000000,0.000000,0.000000,0.996667,0.987960,0.179282,0.006661
0.900000,0.000000,0.000000,0.000000,0.996667,0.987960,0.179282,0.006661
