threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.704667,1.000000,0.826750,0.704667,0.591218,0.781306,0.228551
0.150000,0.704667,1.000000,0.826750,0.704667,0.591218,0.781306,0.228551
0.200000,0.704667,1.000000,0.826750,0.704667,0.591218,0.781306,0.228551
0.250000,0.704667,1.000000,0.826750,0.704667,0.591218,0.781306,0.228551
0.300000,0.704667,1.000000,0.826750,0.704667,0.591218,0.781306,0.228551
0.350000,0.704667,1.000000,0.826750,0.704667,0.591218,0.781306,0.228551
0.400000,0.704667,1.000000,0.826750,0.704667,0.591218,0.781306,0.228551
0.450000,0.704301,0.991485,0.823576,0.700667,0.591218,0.781306,0.228551
0.500000,0.726974,0.836329,0.777827,0.663333,0.591218,0.781306,0.228551
0.550000,0.785714,0.239357,0.366933,0.418000,0.591218,0.781306,0.228551
0.600000,0.927711,0.072848,0.135088,0.342667,0.591218,0.781306,0.228551
0.650000,1.000000,0.067171,0.125887,0.342667,0.591218,0.781306,0.228551
0.700000,1.000000,0.067171,0.125887,0.342667,0.591218,0.781306,0.228551
0.750000,1.000000,0.067171,0.125887,0.342667,0.591218,0.781306,0.228551
0.800000,1.000000,0.067171,0.125887,0.342667,0.591218,0.781306,0.228551
0.850000,1.000000,0.067171,0.125887,0.342667,0.591218,0.781306,0.228551
0.900000,1.000000,0.066225,0.124224,0.342000,0.591218,0.781306,0.228551
