threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.162000,1.000000,0.278830,0.162000,0.931056,0.723913,0.135599
0.150000,0.162000,1.000000,0.278830,0.162000,0.931056,0.723913,0.135599
0.200000,0.162000,1.000000,0.278830,0.162000,0.931056,0.723913,0.135599
0.250000,0.162108,1.000000,0.278990,0.162667,0.931056,0.723913,0.135599
0.300000,0.228436,0.991770,0.371341,0.456000,0.931056,0.723913,0.135599
0.350000,0.541872,0.905350,0.677966,0.860667,0.931056,0.723913,0.135599
0.400000,0.569948,0.905350,0.699523,0.874000,0.931056,0.723913,0.135599
0.450000,0.608069,0.868313,0.715254,0.888000,0.931056,0.723913,0.135599
0.500000,0.704301,0.539095,0.610723,0.888667,0.931056,0.723913,0.135599
0.550000,0.828571,0.238683,0.370607,0.868667,0.931056,0.723913,0.135599
0.600000,0.909091,0.041152,0.078740,0.844000,0.931056,0.723913,0.135599
0.650000,0.000000,0.000000,0.000000,0.838000,0.931056,0.723913,0.135599
0.700000,0.000000,0.000000,0.000000,0.838000,0.931056,0.723913,0.135599
0.750000,0.000000,0.000000,0.000000,0.838000,0.931056,0.723913,0.135599
0.800000,0.000000,0.000000,0.000000,0.838000,0.931056,0.723913,0.135599
0.850000,0.000000,0.000000,0.000000,0.838000,0.931056,0.723913,0.135599
0.900000,0.000000,0.000000,0.000000,0.838000,0.931056,0.723913,0.135599
