threshold,precision,recall,f1,accuracy,auroc,pr_auc,brier
0.100000,0.019802,1.000000,0.038835,0.340000,0.939189,0.169281,0.050838
0.150000,0.021622,1.000000,0.042328,0.396667,0.939189,0.169281,0.050838
0.200000,0.026667,1.000000,0.051948,0.513333,0.939189,0.169281,0.050838
0.250000,0.042105,1.000000,0.080808,0.696667,0.939189,0.169281,0.050838
0.300000,0.062500,0.750000,0.115385,0.846667,0.939189,0.169281,0.050838
0.350000,0.125000,0.750000,0.214286,0.926667,0.939189,0.169281,0.050838
0.400000,0.166667,0.500000,0.250000,0.960000,0.939189,0.169281,0.050838
0.450000,0.000000,0.000000,0.000000,0.973333,0.939189,0.169281,0.050838
0.500000,0.000000,0.000000,0.000000,0.983333,0.939189,0.169281,0.050838
0.550000,0.000000,0.000000,0.000000,0.986667,0.939189,0.169281,0.050838
0.600000,0.000000,0.000000,0.000000,0.986667,0.939189,0.169281,0.050838
0.650000,0.000000,0.000000,0.000000,0.986667,0.939189,0.169281,0.050838
0.700000,0.000000,0.000000,0.000000,0.986667,0.939189,0.169281,0.050838
0.750000,0.000000,0.000000,0.000000,0.986667,0.939189,0.169281,0.050838
0.800000,0.000000,0.000000,0.000000,0.986667,0.939189,0.169281,0.050838
0.850000,0.000000,0.000000,0.000000,0.986667,0.939189,0.169281,0.050838
0.900000,0.000000,0.000000,0.000000,0.986667,0.939189,0.169281,0.050838
