regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,300,1.000000,0.000000,0.001556,0.001556,0.000667,0.002778,0.000089,0.000026,0.000178
informative,0,0.000000,,,,,,,,
saturated,0,0.000000,,,,,,,,
aggregate,300,1.000000,0.000000,0.001556,0.001556,0.000556,0.002667,0.000089,0.000026,0.000185
