regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,0,0.000000,,,,,,,,
informative,280,0.933333,0.403571,0.474524,0.029364,0.017840,0.040752,0.012156,0.010010,0.014055
saturated,20,0.066667,1.000000,0.936667,0.087471,0.052477,0.122532,0.015100,0.006052,0.025825
aggregate,300,1.000000,0.443333,0.505333,0.024215,0.016869,0.037646,0.012353,0.010351,0.014408
