regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,0,0.000000,,,,,,,,
informative,191,0.127333,1.000000,0.813962,0.091924,0.088481,0.095633,0.009224,0.008431,0.010070
saturated,1309,0.872667,1.000000,0.927273,0.014911,0.012840,0.016840,0.001707,0.001594,0.001829
aggregate,1500,1.000000,1.000000,0.912844,0.001307,0.000528,0.003952,0.002664,0.002475,0.002838
