regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,842,0.561333,0.000000,0.089549,0.037842,0.034991,0.040855,0.003154,0.002806,0.003509
informative,658,0.438667,0.121581,0.260841,0.057162,0.054146,0.061534,0.006524,0.005858,0.007221
saturated,0,0.000000,,,,,,,,
aggregate,1500,1.000000,0.053333,0.164689,0.007270,0.004407,0.010795,0.004632,0.004264,0.005022
