regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,1277,0.851333,0.000000,0.066980,0.015350,0.012790,0.017616,0.001946,0.001811,0.002085
informative,223,0.148667,0.000000,0.201046,0.063564,0.056617,0.070150,0.006442,0.005542,0.007472
saturated,0,0.000000,,,,,,,,
aggregate,1500,1.000000,0.000000,0.086911,0.003618,0.001104,0.006490,0.002614,0.002426,0.002850
