regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,0,0.000000,,,,,,,,
informative,374,0.249333,1.000000,0.771123,0.025587,0.019411,0.032074,0.004427,0.003656,0.005338
saturated,1126,0.750667,1.000000,0.981912,0.010319,0.008264,0.012314,0.001142,0.000952,0.001351
aggregate,1500,1.000000,1.000000,0.929356,0.002648,0.001291,0.005295,0.001961,0.001666,0.002257
