regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,212,0.141333,0.000000,0.114623,0.117415,0.113629,0.121461,0.014651,0.013685,0.015628
informative,1221,0.814000,0.004914,0.258067,0.020719,0.016849,0.024719,0.004842,0.004429,0.005315
saturated,67,0.044667,1.000000,0.955721,0.020252,0.009671,0.030696,0.002650,0.001768,0.003688
aggregate,1500,1.000000,0.048667,0.268956,0.001098,0.000922,0.005492,0.006131,0.005716,0.006552
