regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,442,0.294667,0.000000,0.104827,0.070412,0.067669,0.073084,0.006078,0.005514,0.006628
informative,1058,0.705333,0.017013,0.255986,0.025345,0.022714,0.029515,0.004990,0.004517,0.005464
saturated,0,0.000000,,,,,,,,
aggregate,1500,1.000000,0.012000,0.211444,0.004595,0.002089,0.008273,0.005311,0.004945,0.005662
