regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,0,0.000000,,,,,,,,
informative,59,0.039333,1.000000,0.816949,0.086367,0.080140,0.093409,0.008231,0.007070,0.009530
saturated,1441,0.960667,1.000000,0.976012,0.005316,0.003991,0.006696,0.000671,0.000586,0.000754
aggregate,1500,1.000000,1.000000,0.969756,0.001710,0.000810,0.003260,0.000969,0.000846,0.001102
