regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,1434,0.956000,0.000000,0.025616,0.000757,0.000276,0.002221,0.000859,0.000775,0.000945
informative,66,0.044000,0.075758,0.327273,0.045258,0.026657,0.070780,0.010530,0.007510,0.013793
saturated,0,0.000000,,,,,,,,
aggregate,1500,1.000000,0.003333,0.038889,0.001971,0.001065,0.004062,0.001285,0.001093,0.001520
