regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,0,0.000000,,,,,,,,
informative,1032,0.688000,1.000000,0.766796,0.029466,0.026004,0.033042,0.004193,0.003798,0.004659
saturated,468,0.312000,1.000000,0.908547,0.076548,0.073028,0.080430,0.007615,0.006913,0.008320
aggregate,1500,1.000000,1.000000,0.811022,0.003610,0.001497,0.007172,0.005260,0.004930,0.005625
